host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
HD 50554,HD 50554 b,2002,1293,1574.464,12.9,4.03,31.19,1.04,1.02
HD 51608,HD 51608 b,2019,14.0726,12.77,3.62,1.48,34.83,0.8,0.92
HD 51608,HD 51608 c,2019,95.9446,14.31,3.87,1.36,34.83,0.8,0.92
HD 52265,HD 52265 b,2000,119.27,384.5743,13.7,0.822,30.01,1.2,1.35
HD 5319,HD 5319 b,2007,637.1,494.54348,13.5,1.1,121.83,1.27,4.06
HD 5319,HD 5319 c,2014,872.2,334.67499,13.8,0.7,121.83,1.27,4.06
HD 55696,HD 55696 b,2018,1827,1230.0021,13,3.08,78.15,1.29,1.52
HD 5583,HD 5583 b,2016,139.35,1837.0574,12.8,4.81,221,1.01,9.09
HD 5608,HD 5608 b,2012,779.9,534.27223,13.5,1.19,58.21,1.53,5.14
HD 564,HD 564 b,2014,492.3,104.88,12.5,0.295,53.6,0.96,1.01
HD 5891,HD 5891 b,2011,177.11,2425.0429,12.6,6.66,285.75,1.93,10.64
HD 59686 A,HD 59686 A b,2016,299.36,2199.3836,12.7,5.9,96.8,1.9,13.2
HD 60532,HD 60532 b,2008,201.9,336.8998,13.8,0.704,25.99,1.5,2.57
HD 60532,HD 60532 c,2008,600.1,797.7533,13.3,1.86,25.99,1.5,2.57
HD 62509,HD 62509 b,2006,589.64,731,13.3,1.71,10.34,2.1,8.31
HD 63454,HD 63454 b,2005,2.81805,79.4575,12.31,0.234,37.73,0.42,0.77
HD 63765,HD 63765 b,2009,358,168.4499,14.2,0.323,32.57,0.65,0.83
HD 64114,HD 64114 b,2019,45.791,17.8,4.41,1.14,31.55,0.95,0.88
HD 6434,HD 6434 b,2003,21.998,155.7367,14.2,0.299,42.41,1.1,1.12
HD 65216,HD 65216 b,2003,577.6,411.58985,13.6,0.899,35.16,0.87,0.88
HD 65216,HD 65216 c,2013,5370,645.1949,13.4,1.47,35.16,0.87,0.88
HD 66141,HD 66141 b,2012,480.5,1906.9,12.8,5,68.16,1.1,21.4
HD 66428,HD 66428 b,2005,2263.12,1018.32732,13.1,2.49,53.36,1.08,1.1
HD 67087,HD 67087 b,2015,352.2,973,13.1,2.38,76.69,1.36,1.55
HD 67087,HD 67087 c,2015,2374,1540,12.9,3.94,76.69,1.36,1.55
HD 6718,HD 6718 b,2009,2496,533.9544,13.5,1.19,51.42,1.08,0.95
HD 68402,HD 68402 b,2016,1103,975.7381,13.1,2.39,78.61,1.12,1.02
HD 68988,HD 68988 b,2001,6.27711,626.1251,13.4,1.43,60.95,1.28,1.19
HD 69830,HD 69830 b,2006,8.667,10.2,3.17,1.76,12.56,0.86,0.9
HD 69830,HD 69830 c,2006,31.56,11.8,3.46,1.57,12.56,0.86,0.9
HD 69830,HD 69830 d,2006,197,18.1,4.45,1.13,12.56,0.86,0.9
HD 70573,HD 70573 b,2007,851.8,1900,12.8,4.98,45.7,1,0.98
HD 70642,HD 70642 b,2003,2124.54,633.43519,13.4,1.45,29.3,1.08,0.98
HD 7199,HD 7199 b,2011,615,85.8141,11.1,0.345,36.19,0.77,0.97
HD 72490,HD 72490 b,2018,858,561.92344,13.5,1.26,126.79,1.21,4.96
HD 72659,HD 72659 b,2002,3658,1223.6455,13,3.06,51.97,1.43,1.46
HD 72892,HD 72892 b,2016,39.475,1732.1735,12.8,4.54,69.87,1.02,1.22
HD 73267,HD 73267 b,2008,1245.36,984.31951,13.1,2.41,54.91,0.9,0.91
HD 73526,HD 73526 b,2002,188.3,978.9164,13.1,2.39,97.51,1.14,1.53
HD 73526,HD 73526 c,2005,379.1,715.09,13.3,1.67,97.51,1.14,1.53
HD 73534,HD 73534 b,2008,1750,353.42696,13.7,0.755,83.53,1.16,2.58
HD 74156,HD 74156 b,2003,51.645,572.07,13.4,1.31,64.6,1.24,1.44
HD 74156,HD 74156 c,2003,2473,2561.6,12.6,7.04,64.6,1.24,1.44
HD 7449,HD 7449 b,2011,1255.5,161.45764,14.2,0.31,38.71,1.05,1.03
HD 75289,HD 75289 b,1999,3.50927,155.7367,14.2,0.299,29.14,1.29,1.23
HD 75784,HD 75784 b,2014,341.2,317.83,13.8,0.665,85.64,1.26,3.4
HD 75784,HD 75784 c,2018,7900,1792.5612,12.8,4.7,85.64,1.26,3.4
HD 75898,HD 75898 b,2007,422.9,861.3193,13.2,2.06,78.23,1.26,1.58
HD 76700,HD 76700 b,2002,3.97097,66.7443,9.6,0.415,60.99,0.99,1.37
HD 76920,HD 76920 b,2017,415.4,1249.0719,13,3.12,184.8,1.17,7.47
HD 77338,HD 77338 b,2012,5.7361,15.9,4.12,1.25,46,1.37,0.97
HD 7924,HD 7924 b,2008,5.39792,6.3566,2.4,2.53,17,0.65,0.78
HD 7924,HD 7924 c,2015,15.299,7.86,2.72,2.15,17,0.65,0.78
HD 7924,HD 7924 d,2015,24.451,6.44,2.42,2.5,17,0.65,0.78
HD 79498,HD 79498 b,2011,1807,425.8922,13.6,0.93,49.02,1.08,1.05
HD 80606,HD 80606 b,2001,111.4367,1392.0954,11.994,5.08,66.6,1.15,1.04
HD 81040,HD 81040 b,2005,1001.70001,2310.6241,12.6,6.35,34.47,1.05,0.91
HD 81688,HD 81688 b,2007,184.02,858.1,13.2,2.05,85.92,2.1,13
HD 82886,HD 82886 b,2011,705,740.5439,13.3,1.73,127.52,2.53,5.26
HD 82943,HD 82943 b,2003,441.47,534.25,13.5,1.19,27.61,1.2,1.03
HD 82943,HD 82943 c,2003,220.078,622.603,13.4,1.42,27.61,1.2,1.03
HD 8326,HD 8326 b,2019,158.991,66.6,9.58,0.416,30.71,0.8,0.78
HD 83443,HD 83443 b,2002,2.9857,108.0622,12.7,0.29,40.95,0.79,0.94
HD 8535,HD 8535 b,2010,1313,216.1244,14,0.433,52.5,1.13,1.19
HD 85390,HD 85390 b,2009,799.52,31.46517,6.16,0.74,33.56,0.76,0.8
HD 85512,HD 85512 b,2011,58.43,3.1783,1.6,4.26,11.28,0.43,0.71
HD 8574,HD 8574 b,2002,227,645.1949,13.4,1.47,44.88,1.34,1.38
HD 86081,HD 86081 b,2006,2.1378431,470.3884,13.6,1.03,104.24,1.21,1.46
HD 86226,HD 86226 b,2009,1695,292.39,13.9,0.598,45.74,1.06,1.02
HD 86264,HD 86264 b,2009,1475,2224.81,12.7,5.97,67.94,1.42,1.88
HD 8673,HD 8673 b,2009,1634,4513,12.3,13.3,37.9,1.35,1.39
HD 86950,HD 86950 b,2016,1270,1144.188,13,2.86,211.1,1.66,8.8
HD 87646,HD 87646 b,2016,13.481,3941.092,12.4,11.4,135.17,1.12,1.55
HD 87883,HD 87883 b,2009,2754,489.4582,13.5,1.09,18.3,0.66,0.79
HD 88133,HD 88133 b,2004,3.414884,324.1866,13.8,0.678,73.77,1.26,2.2
HD 89307,HD 89307 b,2009,2166,670.6213,13.4,1.53,32.04,1.27,1.1
HD 89345,HD 89345 b,2018,11.8143,34.9613,7.398,0.471,132.8,1.16,1.75
HD 89744,HD 89744 b,1999,256.78,2653.8805,12.6,7.29,38.68,1.86,2.16
HD 90156,HD 90156 b,2009,49.77,17.98,4.43,1.14,21.96,0.84,0.87
HD 9174,HD 9174 b,2016,1179,352.7913,13.7,0.754,81.68,1.03,1.67
HD 92788,HD 92788 b,2000,325.803,1195.0408,13,2.99,34.69,1.15,1.14
HD 92788,HD 92788 c,2019,11611.2975,1166.4361,13,2.92,34.69,1.15,1.14
HD 92987,HD 92987 b,2019,10354.8375,5364.9704,12.2,16.2,43.59,1.08,1.58
HD 93083,HD 93083 b,2005,143.58,117.59,13.4,0.269,28.54,0.7,0.85
HD 9446,HD 9446 b,2009,30.052,222.472,14,0.446,50.42,1,1
HD 9446,HD 9446 c,2009,192.9,578.426,13.4,1.32,50.42,1,1
HD 94834,HD 94834 b,2018,1576,400.4658,13.7,0.856,98.43,1.11,4.2
HD 95086,HD 95086 b,2013,,1589,12.9,4.07,86.44,1.6,1.52
HD 95089,HD 95089 b,2009,464.4,400.4658,13.7,0.856,137.46,1.54,5.08
HD 95089,HD 95089 c,2018,1785,1096.5135,13.1,2.68,137.46,1.54,5.08
HD 95127,HD 95127 b,2015,482,3378.5329,12.4,9.74,689.75,3.7,41.01
HD 95872,HD 95872 b,2015,4375,1188.6842,13,2.97,72.37,0.7,0.84
HD 96063,HD 96063 b,2011,362.5,403.6441,13.7,0.863,140.62,1.37,4.75
HD 96127,HD 96127 b,2011,647.29999,6661.7168,12.1,20.7,597.42,10.94,51.1
HD 96167,HD 96167 b,2009,498.04,227.88411,14,0.456,85.51,1.27,1.94
HD 97048,HD 97048 b,2019,,794.575,13.3,1.86,185,2.4,2.25
HD 97658,HD 97658 b,2010,9.4909,9.5349,2.354,3.9,21.58,0.89,0.74
HD 98219,HD 98219 b,2011,433.8,624.21812,13.4,1.43,114.07,1.41,4.6
HD 98649,HD 98649 b,2012,6022.9725,2158.0657,12.7,5.79,42.22,1.03,1.01
HD 98736,HD 98736 b,2018,968.8,740.5439,13.3,1.73,32.48,0.92,0.93
HD 99109,HD 99109 b,2005,439.29999,139.8452,14.3,0.263,54.88,0.76,0.98
HD 99492,HD 99492 b,2004,17.0431,22.2481,5.02,0.966,18.21,0.48,0.83
HD 99706,HD 99706 b,2011,841,390.9309,13.7,0.835,147.21,1.46,5.52
HD 99706,HD 99706 c,2018,1278,1808.4527,12.8,4.74,147.21,1.46,5.52
HIP 105854,HIP 105854 b,2014,184.2,2606.1,12.6,7.16,78.8,2.1,10.31
HIP 107773,HIP 107773 b,2015,144.3,629.3034,13.4,1.44,103.63,2.42,11.6
HIP 109384,HIP 109384 b,2016,499.48,495.8148,13.5,1.11,56.2,0.78,0.83
HIP 109600,HIP 109600 b,2016,232.08,851.7844,13.2,2.04,58.6,0.87,0.97
HIP 116454,HIP 116454 b,2014,9.1205,12.7132,2.466,4.17,62.56,0.81,0.72
HIP 12961,HIP 12961 b,2010,57.435,114.4188,13.2,0.273,23.39,0.69,0.65
HIP 14810,HIP 14810 b,2005,6.673892,1239.537,13,3.1,50.55,1.01,1.07
HIP 14810,HIP 14810 c,2006,147.747,416.3573,13.6,0.91,50.55,1.01,1.07
HIP 14810,HIP 14810 d,2009,981.8,187.5197,14.1,0.368,50.55,1.01,1.07
HIP 35173,HIP 35173 b,2019,41.516,12.7,3.61,1.48,33.19,0.79,0.77
HIP 41378,HIP 41378 b,2016,15.572098,8.75,2.9,1.97,106.61,1.17,1.34
HIP 41378,HIP 41378 c,2016,31.70648,7.08,2.56,2.32,106.61,1.17,1.34
HIP 41378,HIP 41378 d,2016,1114,14.9,3.96,1.32,106.61,1.17,1.34
HIP 41378,HIP 41378 e,2016,131,26,5.51,0.854,106.61,1.17,1.34
HIP 41378,HIP 41378 f,2016,1084,74,10.2,0.383,106.61,1.17,1.34
HIP 5158,HIP 5158 b,2009,345.72,451,13.6,0.985,51.68,0.78,0.79
HIP 5158,HIP 5158 c,2011,9017.76,4780.1632,12.2,14.5,51.68,0.78,0.79
HIP 54373,HIP 54373 b,2019,7.76,8.62,2.87,2,18.73,0.57,0.5
HIP 54373,HIP 54373 c,2019,15.144,12.44,3.57,1.5,18.73,0.57,0.5
HIP 57274,HIP 57274 b,2011,8.1352,6.3566,2.4,2.53,25.88,0.29,0.78
HIP 57274,HIP 57274 c,2011,32.03,130,14.2,0.249,25.88,0.29,0.78
HIP 57274,HIP 57274 d,2011,431.7,167.4,14.2,0.321,25.88,0.29,0.78
HIP 63242,HIP 63242 b,2013,124.6,2917.56,12.5,8.21,157.16,1.54,10.28
HIP 65407,HIP 65407 b,2016,28.125,136.03124,14.3,0.256,55.5,0.93,0.95
HIP 65407,HIP 65407 c,2016,67.3,249.17872,13.9,0.51,55.5,0.93,0.95
HIP 65426,HIP 65426 b,2017,,2860.47,16.814,3.31,111.4,1.96,1.77
HIP 65891,HIP 65891 b,2015,1084.5,1906.98,12.8,5,136.05,2.5,8.93
HIP 67537,HIP 67537 b,2017,2556.5,3527.913,12.4,10.2,112.6,2.41,8.69
HIP 67851,HIP 67851 b,2015,88.9,438.6054,13.6,0.958,65.96,1.63,5.92
HIP 67851,HIP 67851 c,2015,2131.8,2002.2,12.7,5.37,65.96,1.63,5.92
HIP 70849,HIP 70849 b,2009,17337.5,2860,12.5,8.05,24.07,0.63,0.59
HIP 71135,HIP 71135 b,2019,87.19,18.8,4.55,1.1,32.36,0.66,0.68
HIP 74890,HIP 74890 b,2016,822.3,762.792,13.3,1.78,91.49,1.74,5.77
HIP 78530,HIP 78530 b,2010,,7300,12,23.2,156.7,2.5,
HIP 79098 AB,HIP 79098 AB b,2019,,6515.515,12.1,20.2,146.3,3.75,
HIP 79431,HIP 79431 b,2009,111.7,667.415,13.4,1.52,14.54,0.42,0.54
HIP 8541,HIP 8541 b,2016,1560.2,1748.065,12.8,4.58,168.63,1.17,7.83
HIP 91258,HIP 91258 b,2013,5.0505,346.4347,13.7,0.74,45.95,0.97,0.89
HIP 97233,HIP 97233 b,2014,1058.8,6356.3,12.1,19.7,102.58,1.93,5.34
HN Peg,HN Peg b,2006,,6991.57,11.777,23.5,18.13,1.1,1.04
HR 2562,HR 2562 b,2016,,9534.9,12.442,27.2,34.04,1.3,1.47
HR 5183,HR 5183 b,2019,27000,1026.5909,13.1,2.51,31.49,1.07,1.53
HR 810,HR 810 b,1999,302.79999,721.4741,13.3,1.69,17.33,1.34,1.13
HR 858,HR 858 b,2019,3.58599,5,2.085,3.03,31.99,1.15,1.31
HR 858,HR 858 c,2019,5.97293,4.42,1.939,3.33,31.99,1.15,1.31
HR 858,HR 858 d,2019,11.23,5.32,2.164,2.88,31.99,1.15,1.31
HR 8799,HR 8799 b,2008,170000,2000,13,5,39.4,1.51,1.44
HR 8799,HR 8799 c,2008,69000,3000,13,7.5,39.4,1.51,1.44
HR 8799,HR 8799 d,2008,37000,3000,13,7.5,39.4,1.51,1.44
HR 8799,HR 8799 e,2010,20815.6,3178.3,13.115,7.74,39.4,1.51,1.44
HU Aqr,HU Aqr AB b,2011,2390,1875.197,12.8,4.91,192.2,0.88,
HU Aqr,HU Aqr AB c,2011,4368,1430.235,12.9,3.66,192.2,0.88,
HW Vir,HW Vir b,2012,4640,4602.90201,12.3,13.6,181,0.48,
IC 4651 9122,IC 4651 9122 b,2018,734,2002.329,12.7,5.37,879.38,2.1,10.27
K2-10,K2-10 b,2015,19.3044,27,3.84,2.6,274.48,0.92,0.98
K2-100,K2-100 b,2016,1.673833,12.6,3.59,1.5,190.04,1.23,1.22
K2-101,K2-101 b,2016,14.677286,4.66,2,3.2,189.33,0.8,0.73
K2-102,K2-102 b,2016,9.915615,2.24,1.3,5.6,189.17,0.77,0.71
K2-104,K2-104 b,2016,1.974238,4.5,1.96,3.28,190.21,0.43,0.49
K2-105,K2-105 b,2017,8.267704,30,3.37,4.31,199.28,0.99,0.91
K2-107,K2-107 b,2017,3.313959,266.9772,15.98,0.35,696.95,1.3,1.81
K2-108,K2-108 b,2017,4.733999,59.4,5.33,2.22,484.99,1.17,1.76
K2-11,K2-11 b,2015,39.93767,44.4,7.55,0.567,332.46,1.35,5.15
K2-110,K2-110 b,2017,13.86387,16.7,2.56,5.2,116.84,0.75,0.71
K2-111,K2-111 b,2017,5.35117,8.6,1.9,6.6,201.51,0.88,1.23
K2-113,K2-113 b,2017,5.817685,410.0007,12.14,1.97,649.75,1.04,1.24
K2-114,K2-114 b,2017,11.391013,587.9855,10.67,2.99,484.8,0.89,0.84
K2-115,K2-115 b,2017,20.272615,266.9772,12.06,0.82,418.58,0.95,0.88
K2-116,K2-116 b,2017,4.655411,0.257,0.69,4.3,49.46,0.69,0.67
K2-117,K2-117 b,2017,1.2916,4.78,2.03,3.14,101.95,0.54,0.51
K2-117,K2-117 c,2017,5.444017,4.9,2.06,3.08,101.95,0.54,0.51
K2-118,K2-118 b,2017,50.92092,6.99,2.54,2.34,324.7,0.76,0.73
K2-119,K2-119 b,2017,7.727283,6.94,2.53,2.35,369.66,0.76,0.71
K2-12,K2-12 b,2015,8.28212,6.04,2.33,2.62,329.36,1.01,1.01
K2-120,K2-120 b,2017,9.562742,4.7,2.01,3.18,289.54,0.69,0.67
K2-121,K2-121 b,2017,5.185761,43.9,7.5,0.572,170.37,0.72,0.68
K2-122,K2-122 b,2017,2.219282,1.92,1.21,5.96,72.19,0.62,0.6
K2-123,K2-123 b,2017,30.951524,8.05,2.76,2.1,162.36,0.62,0.59
K2-124,K2-124 b,2017,6.413651,8.75,2.9,1.97,140.4,0.39,0.39
K2-125,K2-125 b,2017,21.750264,5.39,2.18,2.86,124.6,0.49,0.4
K2-126,K2-126 b,2017,7.385655,4.54,1.97,3.26,103.29,0.69,0.65
K2-127,K2-127 b,2017,3.588163,52.9,8.37,0.496,723.97,0.72,0.66
K2-128,K2-128 b,2017,5.675819,2.6,1.42,4.99,115.01,0.71,0.78
K2-129,K2-129 b,2017,8.239493,1.12,1.04,5.47,27.82,0.36,0.36
K2-13,K2-13 b,2015,39.91488,4.23,1.89,3.44,345.76,0.8,0.78
K2-130,K2-130 b,2017,2.49412,2.1,1.25,5.91,118.41,0.7,0.74
K2-131,K2-131 b,2017,0.36931,6.3,1.7,7.7,153.7,0.84,0.75
K2-132,K2-132 b,2017,9.1751,155.7367,14.572,0.277,620.41,1.08,3.85
K2-133,K2-133 b,2017,3.07133,2.36,1.34,5.39,75.2,0.46,0.46
K2-133,K2-133 c,2017,4.86784,3.2,1.603,4.27,75.2,0.46,0.46
K2-133,K2-133 d,2017,11.02454,4.67,2.003,3.19,75.2,0.46,0.46
K2-133,K2-133 e,2019,26.5841,3.64,1.73,3.86,75.2,0.46,0.46
K2-136,K2-136 b,2017,7.975292,0.937,0.99,5.31,59.35,0.74,0.66
K2-136,K2-136 c,2017,17.307137,8.8,2.91,1.96,59.35,0.74,0.66
K2-136,K2-136 d,2017,25.575065,2.7,1.45,4.87,59.35,0.74,0.66
K2-137,K2-137 b,2017,0.179715,158.915,0.89,,99.15,0.46,0.44
K2-138,K2-138 b,2017,2.35322,3.09,1.57,4.39,183,0.93,0.86
K2-138,K2-138 c,2017,3.55987,6.9,2.52,2.37,183,0.93,0.86
K2-138,K2-138 d,2017,5.40478,7.56,2.66,2.21,183,0.93,0.86
K2-138,K2-138 e,2017,8.26144,10.8,3.29,1.67,183,0.93,0.86
K2-138,K2-138 f,2017,12.75759,8.3,2.81,2.06,183,0.93,0.86
K2-139,K2-139 b,2017,28.380619,123.00021,9.11,0.91,154.6,0.96,0.88
K2-14,K2-14 b,2015,8.36802,20.7,4.81,1.02,367.72,0.47,0.45
K2-140,K2-140 b,2017,6.56918,323.86877,12.25,0.963,341.6,1,0.99
K2-141,K2-141 b,2018,0.2803244,5.08,1.51,8.2,61.98,0.71,0.68
K2-141,K2-141 c,2018,7.7485,7.4,7,,61.98,0.71,0.68
K2-146,K2-146 b,2018,2.6446,5.77,2.05,3.69,79.31,0.33,0.33
K2-146,K2-146 c,2019,4.00498,7.49,2.19,3.92,79.31,0.33,0.33
K2-147,K2-147 b,2018,0.961917,2.48,1.38,5.19,88,0.58,0.55
K2-148,K2-148 b,2018,4.38395,2.33,1.33,5.44,121,0.65,0.63
K2-148,K2-148 c,2018,6.9226,3.64,1.73,3.86,121,0.65,0.63
K2-148,K2-148 d,2018,9.7579,3.33,1.64,4.15,121,0.65,0.63
K2-149,K2-149 b,2018,11.332,3.33,1.64,4.15,118,0.59,0.57
K2-15,K2-15 b,2015,11.8104,6.71,2.48,2.42,501.03,0.72,0.68
K2-150,K2-150 b,2018,10.59357,4.66,2,3.2,110,0.46,0.44
K2-151,K2-151 b,2018,3.835476,2.83,1.49,4.7,69.61,0.47,0.45
K2-152,K2-152 b,2018,32.6479,5.86,2.29,2.68,108.7,0.63,0.61
K2-153,K2-153 b,2018,7.51574,4.66,2,3.2,143.6,0.55,0.53
K2-154,K2-154 b,2018,3.67626,4.62,1.99,3.22,129.8,0.65,0.63
K2-154,K2-154 c,2018,7.95486,4.94,2.07,3.06,129.8,0.65,0.63
K2-155,K2-155 b,2018,6.342,3.89,1.8,3.67,82,0.65,0.58
K2-155,K2-155 c,2018,13.85,7.27,2.6,2.27,82,0.65,0.58
K2-155,K2-155 d,2018,40.718,4.27,1.9,3.42,82,0.65,0.58
K2-156,K2-156 b,2018,0.81314,1.6,1.15,5.78,150.4,0.66,0.66
K2-157,K2-157 b,2018,0.365257,1.18,1.055,5.51,300.88,0.94,0.88
K2-158,K2-158 b,2018,10.06049,7.46,2.64,2.23,198.2,0.92,0.95
K2-158,K2-158 c,2018,5.90279,2.18,1.28,5.71,198.2,0.92,0.95
K2-159,K2-159 b,2018,12.42205,5.73,2.26,2.73,171.9,0.9,0.83
K2-16,K2-16 b,2015,7.6188,4.74,2.02,3.16,338.19,0.67,0.54
K2-16,K2-16 c,2015,19.07863,6.99,2.54,2.34,338.19,0.67,0.54
K2-160,K2-160 b,2018,3.705871,10.2,3.178,1.75,318.19,0.98,0.91
K2-161,K2-161 b,2018,9.283188,31.1,6.117,0.747,941.09,0.99,2.57
K2-162,K2-162 b,2018,9.45889,2.67,1.44,4.91,125.1,0.75,0.69
K2-163,K2-163 b,2018,6.673117,6.65,2.466,2.44,209.67,0.83,0.76
K2-164,K2-164 b,2018,17.355066,10.6,3.249,1.7,379.64,1.18,2.2
K2-165,K2-165 b,2018,2.354992,2.17,1.274,5.76,135.1,0.83,0.8
K2-165,K2-165 c,2018,4.382745,3.03,1.554,4.44,135.1,0.83,0.8
K2-165,K2-165 d,2018,14.101361,7.5,2.648,2.22,135.1,0.83,0.8
K2-166,K2-166 b,2018,8.52695,5.43,2.19,2.84,481,1.07,1.6
K2-167,K2-167 b,2018,9.977481,8.34,2.819,2.05,81.08,1.02,1.83
K2-168,K2-168 b,2018,15.8523,4.12,1.86,3.52,245.56,0.88,0.83
K2-169,K2-169 b,2018,6.380803,2.16,1.273,5.75,237.35,0.99,0.92
K2-17,K2-17 b,2015,17.96753,5.6,2.23,2.77,125.56,0.71,0.66
K2-170,K2-170 b,2018,7.576544,2.6,1.418,5.01,397.26,0.96,0.98
K2-170,K2-170 c,2018,12.400047,3.9,1.802,3.66,397.26,0.96,0.98
K2-171,K2-171 b,2018,5.628466,7.69,2.687,2.18,616.41,0.89,1.72
K2-172,K2-172 b,2018,14.316941,3.42,1.666,4.06,251.51,0.93,0.87
K2-172,K2-172 c,2018,29.62682,10.4,3.206,1.73,251.51,0.93,0.87
K2-173,K2-173 b,2018,5.868699,3.22,1.608,4.25,230.14,0.88,0.84
K2-174,K2-174 b,2018,19.562307,7.27,2.6,2.27,100.1,0.7,0.68
K2-175,K2-175 b,2018,9.525988,4.81,2.038,3.12,249.01,1.09,1.42
K2-176,K2-176 b,2018,5.329439,2.83,1.491,4.69,249.01,0.94,0.86
K2-177,K2-177 b,2018,14.155185,5.13,2.116,2.97,499.02,1.21,1.21
K2-178,K2-178 b,2018,8.747818,12.4,3.558,1.51,216.08,0.95,0.89
K2-179,K2-179 b,2018,5.172191,6.86,2.513,2.38,191.84,0.82,0.77
K2-18,K2-18 b,2015,32.939623,8.92,2.37,4.11,38.07,0.36,0.41
K2-18,K2-18 c,2017,8.962,7.51,2.65,2.22,38.07,0.36,0.41
K2-180,K2-180 b,2018,8.867209,5.95,2.31,2.65,204.51,0.72,0.72
K2-181,K2-181 b,2018,6.894256,8.45,2.84,2.03,364.82,0.99,1.07
K2-182,K2-182 b,2018,4.736837,8.05,2.76,2.1,155.9,0.88,0.8
K2-183,K2-183 b,2018,0.469269,7.27,2.599,2.27,331.77,0.93,0.97
K2-183,K2-183 c,2018,10.792635,8.6,2.87,2,331.77,0.93,0.97
K2-183,K2-183 d,2018,22.631964,8.55,2.86,2.01,331.77,0.93,0.97
K2-184,K2-184 b,2018,16.995731,3.02,1.55,4.46,75.79,0.86,0.78
K2-185,K2-185 b,2018,10.616646,2.28,1.313,5.54,270.41,0.98,0.91
K2-186,K2-186 b,2018,41.474219,10.2,3.172,1.76,333.84,1.02,0.98
K2-187,K2-187 b,2018,0.77392,2.24,1.3,5.6,333.51,0.98,0.92
K2-187,K2-187 c,2018,2.872042,3.89,1.8,3.67,333.51,0.98,0.92
K2-187,K2-187 d,2018,7.14921,10.2,3.17,1.76,333.51,0.98,0.92
K2-187,K2-187 e,2018,13.609878,6.26,2.38,2.55,333.51,0.98,0.92
K2-188,K2-188 b,2018,1.742169,2.39,1.35,5.34,452.9,1.06,1.19
K2-188,K2-188 c,2018,7.810253,8.4,2.83,2.04,452.9,1.06,1.19
K2-189,K2-189 b,2018,2.588309,2.92,1.52,4.57,243.93,0.94,0.87
K2-189,K2-189 c,2018,6.679195,6.8,2.5,2.39,243.93,0.94,0.87
K2-19,K2-19 b,2015,7.9194,28.5,7.74,0.334,292.14,0.93,0.86
K2-19,K2-19 c,2015,11.90715,15.9,4.86,0.94,292.14,0.93,0.86
K2-19,K2-19 d,2016,2.50856,14,1.14,51.4,292.14,0.93,0.86
K2-190,K2-190 b,2018,10.098858,2.41,1.357,5.3,161.42,0.9,0.91
K2-190,K2-190 c,2018,21.574023,1.34,1.093,5.64,161.42,0.9,0.91
K2-191,K2-191 b,2018,2.858646,3.12,1.579,4.36,289.57,0.9,0.84
K2-192,K2-192 b,2018,4.162817,2.92,1.52,4.57,223.99,0.9,0.81
K2-193,K2-193 b,2018,14.786889,14.8,3.95,1.32,416.91,1.01,0.98
K2-194,K2-194 b,2018,39.721386,12.9,3.642,1.47,640.65,1.11,1.28
K2-195,K2-195 b,2018,15.852975,9.96,3.13,1.78,317.83,0.94,0.99
K2-195,K2-195 c,2018,28.482786,7.16,2.576,2.3,317.83,0.94,0.99
K2-196,K2-196 b,2018,48.324222,12.6,3.6,1.48,594.09,1.16,1.54
K2-197,K2-197 b,2018,8.357881,7.08,2.56,2.32,249.59,1,0.93
K2-198,K2-198 b,2018,17.0428683,16.3,4.189,1.22,110.91,0.8,0.76
K2-198,K2-198 c,2019,3.3596055,2.61,1.423,4.98,110.91,0.8,0.76
K2-198,K2-198 d,2019,7.4500177,6.52,2.438,2.47,110.91,0.8,0.76
K2-199,K2-199 b,2018,3.225338,4.16,1.87,3.5,107.97,0.73,0.68
K2-199,K2-199 c,2018,7.374694,8.15,2.78,2.08,107.97,0.73,0.68
K2-200,K2-200 b,2018,2.849883,2.43,1.364,5.26,185.09,0.86,0.79
K2-201,K2-201 b,2018,1.05979,2.54,1.4,5.09,199.05,0.96,0.88
K2-201,K2-201 c,2018,22.779878,10.8,3.286,1.67,199.05,0.96,0.88
K2-202,K2-202 b,2018,3.405164,5.91,2.302,2.66,302.99,0.97,0.91
K2-203,K2-203 b,2018,9.695101,2.45,1.371,5.23,166.93,0.79,0.76
K2-204,K2-204 b,2018,7.055784,9.51,3.046,1.85,586.87,1.01,1.18
K2-205,K2-205 b,2018,26.672263,4.64,1.996,3.21,409.95,0.95,1.08
K2-206,K2-206 b,2018,18.294549,8.22,2.795,2.07,246.14,0.79,0.76
K2-207,K2-207 b,2018,12.48749,7.3,2.606,2.27,366.84,0.94,0.93
K2-208,K2-208 b,2018,4.190948,3.46,1.679,4.02,258.76,0.93,0.86
K2-209,K2-209 b,2018,2.080615,0.586,0.869,4.92,76.67,0.74,0.71
K2-21,K2-21 b,2015,9.325038,4.04,1.84,2.7,83.85,0.68,0.65
K2-21,K2-21 c,2015,15.50192,6.76,2.49,5.4,83.85,0.68,0.65
K2-210,K2-210 b,2018,0.570233,0.474,0.819,4.75,177.39,0.91,0.85
K2-211,K2-211 b,2018,0.669558,2.46,1.375,5.2,274.39,0.88,0.82
K2-212,K2-212 b,2018,9.79551,6.9,2.52,2.37,109.32,0.67,0.65
