host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
CoRoT-10,CoRoT-10 b,2010,13.2406,874,10.87,3.7,345,0.89,0.79
CoRoT-11,CoRoT-11 b,2010,2.99433,740.51,16.03,0.99,560,1.27,1.37
CoRoT-12,CoRoT-12 b,2010,2.828042,291.438,16.14,0.411,1150,1.08,1.12
CoRoT-13,CoRoT-13 b,2010,4.03519,415.704,9.92,2.34,1060,1.09,1.01
CoRoT-14,CoRoT-14 b,2010,1.51214,2415.4,12.22,7.3,1340,1.13,1.21
CoRoT-16,CoRoT-16 b,2011,5.35227,170.032,13.11,0.44,840,1.1,1.19
CoRoT-17,CoRoT-17 b,2011,3.7681,772.29,11.43,2.82,920,1.04,1.59
CoRoT-18,CoRoT-18 b,2011,1.9000693,1102.82,14.68,2.2,870,0.95,1
CoRoT-19,CoRoT-19 b,2011,3.89713,352.78,14.46,0.71,770,1.21,1.65
CoRoT-2,CoRoT-2 b,2008,1.7429935,1102.82,16.432,1.47,200,0.96,0.91
CoRoT-20,CoRoT-20 b,2011,9.24285,1366.669,9.416,8.87,864.31,1.14,1.37
CoRoT-20,CoRoT-20 c,2018,1675,5403.11,12.2,16.4,864.31,1.14,1.37
CoRoT-21,CoRoT-21 b,2012,2.72474,718.2958,14.572,1.36,1398.83,1.29,1.95
CoRoT-22,CoRoT-22 b,2014,9.75598,12.2,4.88,0.249,592,1.1,1.14
CoRoT-23,CoRoT-23 b,2011,3.6313,889.9,11.77,3,600,1.14,1.61
CoRoT-24,CoRoT-24 b,2014,5.1134,5.7,3.7,0.9,600,0.91,0.86
CoRoT-24,CoRoT-24 c,2014,11.759,28,5,1.3,600,0.91,0.86
CoRoT-25,CoRoT-25 b,2013,4.86069,85.81,12.11,0.15,1000,1.09,1.19
CoRoT-26,CoRoT-26 b,2013,4.20474,165.26,14.12,0.28,1670,1.09,1.79
CoRoT-27,CoRoT-27 b,2014,3.57532,3302.11,11.287,12.6,1035.15,1.05,1.08
CoRoT-28,CoRoT-28 b,2015,5.20851,153.82972,10.705,0.69,560,1.01,1.78
CoRoT-29,CoRoT-29 b,2015,2.85057,270.1555,10.088,1.45,765,0.97,0.9
CoRoT-3,CoRoT-3 b,2008,4.2568,6883.91,11.32,26.4,680,1.37,1.56
CoRoT-4,CoRoT-4 b,2008,9.20205,228.83,13.34,0.525,741.6,1.16,1.17
CoRoT-5,CoRoT-5 b,2009,4.0378962,148.42,15.558,0.217,904.65,1,1.19
CoRoT-6,CoRoT-6 b,2009,8.886593,940.74,13.068,2.32,657.24,1.05,1.02
CoRoT-7,CoRoT-7 b,2009,0.85359163,3.1783,1.681,6.61,160.64,0.82,0.83
CoRoT-7,CoRoT-7 c,2009,3.698,8.4,2.83,2.04,160.64,0.82,0.83
CoRoT-8,CoRoT-8 b,2010,6.21229,69.92,6.39,1.6,380,0.88,0.77
CoRoT-9,CoRoT-9 b,2009,95.272656,266.9772,11.949,0.86,417.89,0.96,0.96
CoRoTID 223977153,CoRoTID 223977153 b,2017,6.71837,47.6745,6.389,1.1,586.2,1.08,0.79
DE CVn,DE CVn b,2018,4098.1,3823.2733,12.4,11,30.55,0.51,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,2013,246.36,9057.77,11.9,29.5,20.77,0.07,
DH Tau,DH Tau b,2004,,3496,30.264,0.693,140,0.33,0.27
DP Leo,DP Leo b,2009,10220,1995.88832,12.7,5.35,305.06,0.69,0.01
DS Tuc A,DS Tuc A b,2019,8.138268,413.179,5.7,,44.12,1.01,0.96
EPIC 201238110,EPIC 201238110 b,2019,28.1656,4.16,1.87,3.5,159.98,0.41,
EPIC 201497682,EPIC 201497682 b,2019,2.13174,0.26,0.692,4.31,254.88,0.78,0.55
K2-166,EPIC 201615463 c,2019,3.80464,1.98,1.22,5.99,481,1.07,1.6
K2-16,EPIC 201754305 d,2019,2.71578,1.08,1.03,5.43,338.19,0.67,0.54
K2-50,EPIC 201833600 c,2019,3.96151,0.972,1,5.34,259.33,0.61,0.63
EPIC 201841433,EPIC 201841433 b,2019,4.16959,1.37,1.1,5.66,441.94,0.8,0.63
K2-168,EPIC 205950854 c,2019,8.050722,2.27,1.31,5.55,245.56,0.88,0.83
EPIC 206024342,EPIC 206024342 b,2019,4.50756,3.53,1.7,3.95,373.81,0.93,0.82
EPIC 206032309,EPIC 206032309 b,2019,2.87814,1.01,1.01,5.39,162.09,0.22,
EPIC 206042996,EPIC 206042996 b,2019,5.29711,3.26,1.62,4.21,457.27,0.56,0.67
EPIC 206215704,EPIC 206215704 b,2019,2.25372,0.666,0.9,5.02,110.22,0.41,
EPIC 206317286,EPIC 206317286 b,2019,1.58252,0.84,0.96,5.22,317.2,0.71,0.67
EPIC 211822797,EPIC 211822797 b,2016,21.169861,4.58,1.98,3.24,187.19,0.66,0.57
EPIC 211945201,EPIC 211945201 b,2018,19.49221,27,5.76,0.65,182.69,1.17,1.39
EPIC 212297394,EPIC 212297394 b,2019,2.28943,2.31,1.323,5.48,423.35,0.83,0.75
EPIC 212424622,EPIC 212424622 b,2019,18.0983,5.35,2.17,2.88,622.67,1.11,1.22
EPIC 212499991,EPIC 212499991 b,2019,34.885,3.19,1.6,4.28,285.61,0.91,0.76
EPIC 212587672,EPIC 212587672 b,2019,15.2841,1.46,1.12,5.71,322.88,0.95,0.98
EPIC 212737443,EPIC 212737443 b,2019,13.603,7.2,2.586,2.29,347.45,0.69,0.67
EPIC 212737443,EPIC 212737443 c,2019,65.55,7.7,2.69,2.17,347.45,0.69,0.67
K2-282,EPIC 220554210 c,2019,0.70531,2.79,1.48,4.73,502.28,0.94,0.94
EPIC 220674823,EPIC 220674823 b,2016,0.571331,7.72,1.82,8.5,246.1,0.97,0.98
EPIC 220674823,EPIC 220674823 c,2016,13.339079,5.8,2.73,2,246.1,0.97,0.98
EPIC 246851721,EPIC 246851721 b,2018,6.180235,953.49,11.781,3.1,336.7,1.32,1.59
EPIC 248847494,EPIC 248847494 b,2018,3650,4131.79,12.442,,560,0.9,2.7
FU Tau,FU Tau b,2008,,5085.28,12.2,15.4,140,0.05,
Fomalhaut,Fomalhaut b,2008,555530,826.3,13.5,1.85,7.7,1.92,1.92
GJ 1132,GJ 1132 b,2015,1.628931,1.66,1.16,6.3,12.62,0.18,0.21
GJ 1132,GJ 1132 c,2018,8.929,2.64,1.43,4.96,12.62,0.18,0.21
GJ 1148,GJ 1148 b,2010,41.38,96.7,11.9,0.315,11.02,0.35,0.4
GJ 1148,GJ 1148 c,2017,532.58,68.06,9.71,0.409,11.02,0.35,0.4
GJ 1214,GJ 1214 b,2009,1.58040456,6.26125,2.847,1.49,14.65,0.15,0.22
GJ 1265,GJ 1265 b,2018,3.6511,7.4,2.63,2.24,10.26,0.18,0.19
GJ 143,GJ 143 b,2019,35.61253,22.7,2.61,7,16.33,0.73,0.69
GJ 15 A,GJ 15 A b,2014,11.4407,3.03,1.55,4.47,3.56,0.38,0.38
GJ 15 A,GJ 15 A c,2018,7600,36,6.67,0.667,3.56,0.38,0.38
GJ 160.2,GJ 160.2 b,2014,5.2354,10.2,3.17,1.76,25.88,0.69,0.66
GJ 163,GJ 163 b,2013,8.63182,10.6,3.25,1.7,15.14,0.4,0.43
GJ 163,GJ 163 c,2013,25.63058,6.8,2.5,2.39,15.14,0.4,0.43
GJ 163,GJ 163 d,2013,603.95116,29.4,5.92,0.779,15.14,0.4,0.43
GJ 179,GJ 179 b,2009,2288,260.61,13.9,0.533,12.36,0.36,0.38
GJ 180,GJ 180 b,2014,17.38,8.3,2.81,2.06,11.94,0.43,0.42
GJ 180,GJ 180 c,2014,24.329,6.4,2.41,2.51,11.94,0.43,0.42
GJ 229,GJ 229 b,2014,471,32,6.22,0.731,5.76,0.58,0.46
GJ 27.1,GJ 27.1 b,2014,15.819,13,3.66,1.46,23.62,0.53,0.54
GJ 273,GJ 273 b,2017,18.6498,2.89,1.51,4.61,3.8,0.29,0.29
GJ 273,GJ 273 c,2017,4.7234,1.18,1.06,5.44,3.8,0.29,0.29
GJ 3021,GJ 3021 b,2000,133.71,1071.04,13.1,2.62,17.56,0.9,0.9
GJ 3138,GJ 3138 b,2017,1.22003,1.78,1.18,5.95,28.49,0.68,0.5
GJ 3138,GJ 3138 c,2017,5.974,4.18,1.88,3.46,28.49,0.68,0.5
GJ 3138,GJ 3138 d,2017,257.8,10.5,3.23,1.71,28.49,0.68,0.5
GJ 317,GJ 317 b,2007,692,794.5,13.3,1.86,15.1,0.42,
GJ 317,GJ 317 c,2018,5312,489.4582,13.5,1.09,15.1,0.42,
GJ 328,GJ 328 b,2013,4100,731,13.3,1.71,20.54,0.69,0.67
GJ 3293,GJ 3293 b,2015,30.5987,23.54,5.19,0.925,20.2,0.42,0.4
GJ 3293,GJ 3293 c,2015,122.6196,21.09,4.87,1,20.2,0.42,0.4
GJ 3293,GJ 3293 d,2017,48.1345,7.6,2.67,2.19,20.2,0.42,0.4
GJ 3293,GJ 3293 e,2017,13.2543,3.28,1.63,4.16,20.2,0.42,0.4
GJ 3323,GJ 3323 b,2017,5.3636,2.02,1.23,5.96,5.32,0.16,0.12
GJ 3323,GJ 3323 c,2017,40.54,2.31,1.32,5.52,5.32,0.16,0.12
GJ 3341,GJ 3341 b,2015,14.207,6.6,2.46,2.44,23.16,0.47,0.44
GJ 3470,GJ 3470 b,2012,3.3366496,13.9,4.57,0.8,29.45,0.54,0.55
GJ 3512,GJ 3512 b,2019,203.59,147.15529,14.3,0.277,9.49,0.12,0.14
GJ 357,GJ 357 b,2019,3.93072,1.84,1.217,5.6,9.44,0.34,0.34
GJ 357,GJ 357 c,2019,9.1247,3.4,1.66,4.08,9.44,0.34,0.34
GJ 357,GJ 357 d,2019,55.661,6.1,2.34,2.62,9.44,0.34,0.34
GJ 3634,GJ 3634 b,2010,2.64561,8.4,2.83,2.04,19.8,0.45,0.43
GJ 3779,GJ 3779 b,2018,3.0232,8,2.75,2.11,13.75,0.27,0.28
GJ 3942,GJ 3942 b,2017,6.905,7.14,2.57,2.31,16.94,0.63,0.61
GJ 3998,GJ 3998 b,2016,2.64977,2.47,1.38,5.16,18.16,0.5,0.49
GJ 3998,GJ 3998 c,2016,13.74,6.26,2.38,2.55,18.16,0.5,0.49
GJ 411,GJ 411 b,2019,12.9532,2.99,1.54,4.5,2.55,0.39,0.39
GJ 422,GJ 422 b,2014,26.161,9.9,3.12,1.79,12.67,0.35,0.38
GJ 4276,GJ 4276 b,2019,13.352,16.57,4.22,1.21,21.35,0.41,0.41
GJ 433,GJ 433 b,2011,7.3697,5.3,2.16,2.89,9.07,0.48,0.5
GJ 433,GJ 433 c,2014,3400,45,7.61,0.561,9.07,0.48,0.5
GJ 436,GJ 436 b,2004,2.64388312,22.1,4.17,1.8,9.76,0.47,0.46
GJ 504,GJ 504 b,2013,,1271.3,13,3.18,17.54,1.22,1.26
GJ 536,GJ 536 b,2016,8.7076,5.36,2.17,2.88,10.41,0.52,0.5
GJ 581,GJ 581 b,2005,5.3686,15.8,4.11,1.25,6.3,0.31,0.29
GJ 581,GJ 581 c,2007,12.914,5.5,2.21,2.8,6.3,0.31,0.29
