rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
1165,K2-259,K2-259 b,2018,15.48043,0.1271,,5.99,0.0189,2.32,0.207,0.021,2.64,795,422.1,6059,4.39,0.167,1.14,1.13,0.16,
1166,K2-26,K2-26 b,2016,14.5665,0.0962,,7.61,0.0239,2.67,0.238,0.024,2.2,430,99.33,3785,4.75,-1.31,0.56,0.52,-0.13,1
1167,K2-260,K2-260 b,2018,2.6266657,0.0404,0,451.3186,1.42,17.396,1.552,0.159,0.5,1957,676.32,6367,4.15,0.543,1.39,1.69,-0.14,1.9
1168,K2-261,K2-261 b,2018,11.63344,0.102,0.39,70.87609,0.223,9.528,0.85,0.087,0.483,1080,214.58,5537,4.21,0.372,1.1,1.65,0.36,8.8
1169,K2-263,K2-263 b,2018,50.818947,0.2573,0.14,14.8,0.04657,2.41,0.215,0.022,5.7,470,163.23,5368,4.51,-0.26,0.88,0.85,-0.08,7
1170,K2-264,K2-264 b,2018,5.840002,0.05023,0.5,5.61,0.0176,2.231,0.199,0.02,2.78,496,187,3660,4.78,-1.45,0.5,0.47,-0.013,
1171,K2-264,K2-264 c,2018,19.660302,0.11283,0.45,7.6,0.0239,2.668,0.238,0.024,2.2,331,187,3660,4.78,-1.45,0.5,0.47,-0.013,
1172,K2-265,K2-265 b,2018,2.369172,0.03376,0.084,6.54,0.02058,1.71,0.153,0.016,7.1,,139.22,5477,4.42,-0.197,0.92,0.98,0.078,9.7
1173,K2-266,K2-266 b,2018,0.658524,0.01306,,11.26782,0.03545,3.3,0.294,0.03,1.77,1515,77.16,4285,4.58,-0.823,0.69,0.7,-0.12,
1174,K2-266,K2-266 c,2018,7.814,0.0679,0.042,0.29013,0.00091,0.705,0.063,0.006,4.51,665,77.16,4285,4.58,-0.823,0.69,0.7,-0.12,
1175,K2-266,K2-266 d,2018,14.697,0.1035,0.047,8.9,0.028,2.93,0.261,0.027,2.03,538,77.16,4285,4.58,-0.823,0.69,0.7,-0.12,
1176,K2-266,K2-266 e,2018,19.482,0.1249,0.043,14.3,0.04499,2.73,0.244,0.025,2.21,490,77.16,4285,4.58,-0.823,0.69,0.7,-0.12,
1177,K2-268,K2-268 b,2018,2.151894,0.0308,,2.57,0.00809,1.41,0.126,0.013,5.04,1121,331.46,5068,4.59,-0.471,0.84,0.78,0.03,
1178,K2-268,K2-268 c,2018,9.326841,0.0819,,7.7,0.0242,2.69,0.24,0.025,2.17,688,331.46,5068,4.59,-0.471,0.84,0.78,0.03,
1179,K2-269,K2-269 b,2018,4.144965,0.0531,,3.09,0.00972,1.57,0.14,0.014,4.39,1429,362.07,6209,4.18,0.436,1.16,1.45,-0.08,
1180,K2-27,K2-27 b,2016,6.771315,0.06702,0.251,30.9,0.09722,4.48,0.4,0.041,1.87,902,251.43,5248,4.48,-0.274,0.87,0.89,0.13,10.3
1181,K2-270,K2-270 b,2018,1.543069,0.0247,,2.48,0.0078,1.38,0.123,0.013,5.19,1203,283.53,4877,4.59,-0.558,0.85,0.77,0.26,
1182,K2-270,K2-270 c,2018,4.400028,0.0497,,9.01,0.0283,2.95,0.263,0.027,1.93,848,283.53,4877,4.59,-0.558,0.85,0.77,0.26,
1183,K2-271,K2-271 b,2018,8.562421,0.077,,41.8,0.131,7.28,0.649,0.067,0.595,893,571.47,5644,4.37,-0.073,0.83,0.99,-0.3,
1184,K2-272,K2-272 b,2018,14.453533,0.1081,,8.8,0.0277,2.91,0.26,0.027,1.96,655,426.57,5419,4.53,-0.316,0.81,0.81,-0.28,
1185,K2-273,K2-273 b,2018,11.716332,0.0974,,17.9,0.0563,4.42,0.394,0.041,1.14,672,310.6,5200,4.55,-0.36,0.9,0.84,0.2,
1186,K2-274,K2-274 b,2018,14.129714,0.1064,,5.48,0.0172,2.2,0.196,0.02,2.83,589,232.82,5065,4.61,-0.52,0.81,0.74,-0.13,
1187,K2-275,K2-275 b,2018,3.280961,0.04,,5.65,0.0178,2.24,0.2,0.021,2.76,905,124.09,4812,4.61,-0.609,0.79,0.73,0,
1188,K2-275,K2-275 c,2018,8.438756,0.075,,6.08,0.0191,2.34,0.209,0.021,2.61,660,124.09,4812,4.61,-0.609,0.79,0.73,0,
1189,K2-276,K2-276 b,2018,18.718269,0.1291,,13.7,0.043,3.77,0.336,0.035,1.4,583,489.88,5139,4.49,-0.443,0.82,0.85,0.07,
1190,K2-277,K2-277 b,2018,6.326763,0.0675,,4.94,0.0155,2.07,0.185,0.019,3.06,958,113.53,5741,4.48,-0.063,1.02,0.97,0.11,
1191,K2-278,K2-278 b,2018,3.334966,0.0488,,9.17,0.0288,2.98,0.266,0.027,1.9,1711,804.13,6747,4.17,0.394,1.4,1.61,0,
1192,K2-279,K2-279 b,2018,7.122605,0.067,,1.92,0.00606,1.21,0.108,0.011,5.96,879,183.8,5558,4.46,-0.224,0.79,0.86,-0.37,
1193,K2-28,K2-28 b,2016,2.260455,0.0214,0,5.99,0.0189,2.32,0.207,0.021,2.64,568,63.11,3214,4.93,-2.1,0.26,0.29,0.26,
1194,K2-280,K2-280 b,2018,19.895202,0.1488,,45.6,0.144,7.67,0.684,0.07,0.555,744,396.9,5742,4.26,0.14,1.11,1.28,0.3,
1195,K2-281,K2-281 b,2018,8.687721,0.0773,,50.9,0.16,8.18,0.73,0.075,0.511,665,466.11,4812,4.59,-0.647,0.82,0.76,0.22,
1196,K2-282,K2-282 b,2018,4.169836,0.0499,,8.35,0.0263,2.82,0.252,0.026,2.05,1057,502.28,5523,4.47,-0.215,0.94,0.94,0.15,
1197,K2-283,K2-283 b,2018,1.921036,0.0291,,12.2,0.0383,3.52,0.314,0.032,1.54,1186,408.24,5060,4.56,-0.524,0.89,0.82,0.28,
1198,K2-284,K2-284 b,2018,4.795069,0.04771,0.078,8.15,0.0256,2.78,0.248,0.025,2.08,653,107.6,4140,4.67,-1.013,0.63,0.61,0,0.12
1199,K2-285,K2-285 b,2018,3.471745,0.03817,0,9.68,0.03046,2.59,0.231,0.024,3.07,1089,155.65,4975,4.4,-0.422,0.83,0.79,0,
1200,K2-285,K2-285 c,2018,7.138048,0.0824,0,15.68,0.04933,3.53,0.315,0.032,1.95,741,155.65,4975,4.4,-0.422,0.83,0.79,0,
1201,K2-285,K2-285 d,2018,10.45582,0.1178,0,6.5,0.02045,2.48,0.221,0.023,,620,155.65,4975,4.4,-0.422,0.83,0.79,0,
1202,K2-285,K2-285 e,2018,14.76289,0.18041,0,10.7,0.03367,1.95,0.174,0.018,,501,155.65,4975,4.4,-0.422,0.83,0.79,0,
1203,K2-286,K2-286 b,2018,27.359,0.1768,,5.06,0.0159,2.1,0.187,0.019,3,347,76.32,3926,4.7,-1.046,0.64,0.62,0,
1204,K2-287,K2-287 b,2018,14.893291,0.1206,0.478,100.11645,0.315,9.494,0.847,0.087,0.643,804,159.05,5695,4.4,-0.108,1.06,1.07,0.2,4.5
1205,K2-288 B,K2-288 B b,2018,31.393463,0.164,,4.27,0.0134,1.9,0.17,0.017,3.42,226,65.72,3341,4.96,-1.93,0.33,0.32,-0.21,1
1206,K2-289,K2-289 b,2019,13.156969,0.107,,61,0.192,9.1,0.812,0.083,0.445,753,270.7,5529,4.39,-0.505,0.95,1.02,0.162,
1207,K2-29,K2-29 b,2016,3.2588321,0.04217,0.066,232.0159,0.73,13.339,1.19,0.122,0.53,1171,179.39,5358,4.54,-0.453,0.94,0.86,0.16,2.6
1208,K2-290,K2-290 b,2019,9.21165,0.0923,0,10.9,0.0343,3.06,0.273,0.028,4.1,1230,274.99,6302,4.23,0.42,1.19,1.51,-0.06,4
1209,K2-290,K2-290 c,2019,48.36685,0.305,0,246.00042,0.774,11.276,1.006,0.103,1.01,676,274.99,6302,4.23,0.42,1.19,1.51,-0.06,4
1210,K2-291,K2-291 b,2019,2.225177,0.03261,0,6.49,0.02042,1.589,0.142,0.015,8.84,,90.29,5520,4.5,-0.166,0.93,0.9,0.08,3.72
1211,K2-293,K2-293 b,2019,13.1225,,,6.57,0.0207,2.45,0.219,0.022,2.45,750,396.64,5532,4.52,-0.18,0.96,0.95,0.218,
1212,K2-294,K2-294 b,2019,2.50387,,,3.39,0.0107,1.66,0.148,0.015,4.07,1425,377.04,5612,4.2,0.088,0.99,1.2,0.194,
1213,K2-295,K2-295 b,2018,4.024867,0.0451,0,106.47305,0.335,10.054,0.897,0.092,0.612,852,225.7,4444,4.63,-0.716,0.74,0.7,0.14,
1214,K2-3,K2-3 b,2015,10.05449,0.0769,0.06,8.1,0.02549,2.18,0.194,0.02,4.32,463,44.13,3896,4.72,-1.19,0.6,0.56,-0.32,1
1215,K2-3,K2-3 c,2015,24.64354,0.1399,0.04,2.1,0.00661,1.85,0.165,0.017,1.82,344,44.13,3896,4.72,-1.19,0.6,0.56,-0.32,1
1216,K2-3,K2-3 d,2015,44.55983,0.2076,0.045,7.5,0.0236,1.51,0.135,0.014,17.5,282,44.13,3896,4.72,-1.19,0.6,0.56,-0.32,1
1217,K2-30,K2-30 b,2016,4.098503,0.04839,0,184.02357,0.579,11.646,1.039,0.107,0.64,1092,336.26,5425,4.54,-0.256,0.9,0.84,-0.15,3.9
1218,K2-308,K2-308 b,2019,3.38628,,,70.6,0.222,9.916,0.884,0.091,0.398,,,6100,3.94,0.283,1.09,1.24,-0.1,
1219,K2-31,K2-31 b,2016,1.25785,0.022,0,563.83042,1.774,11.882,1.06,0.109,1.85,,110.87,5280,4.6,-0.231,0.91,0.78,0.08,
1220,K2-32,K2-32 b,2016,8.991828,0.08035,0,16.5,0.05191,4.96,0.443,0.045,0.67,817,158.39,5415,4.49,-0.488,0.86,0.84,-0.02,7.9
1221,K2-32,K2-32 c,2016,20.66186,0.1399,0,12.1,0.03807,2.74,0.244,0.025,2.7,619,158.39,5415,4.49,-0.488,0.86,0.84,-0.02,7.9
1222,K2-32,K2-32 d,2016,31.7142,0.1862,0,10.3,0.03241,3.27,0.292,0.03,1.38,537,158.39,5415,4.49,-0.488,0.86,0.84,-0.02,7.9
1223,K2-32,K2-32 e,2019,4.34882,0.04951,,1.01,0.00317,1.01,0.09,0.009,5.39,,158.39,5415,4.49,-0.488,0.86,0.84,-0.02,7.9
1224,K2-33,K2-33 b,2016,5.424865,0.0409,0,1175.971,3.7,5.04,0.45,0.046,,850,139.8,3540,3.84,-0.824,0.56,1.05,,0.009
1225,K2-34,K2-34 b,2016,2.995633,0.0426,0,539.67534,1.698,13.96,1.245,0.128,0.94,1559,352.34,6071,4.18,0.385,1.15,1.44,0.03,2.88
1226,K2-35,K2-35 b,2016,5.608352,0.055,0.12,4.38,0.0138,1.93,0.172,0.018,3.35,979,254.43,4402.71,4.7,-0.803,0.7,0.62,0.04,
1227,K2-35,K2-35 c,2016,2.399964,0.031,0.13,2.3,0.00724,1.32,0.118,0.012,5.5,737,254.43,4402.71,4.7,-0.803,0.7,0.62,0.04,
1228,K2-36,K2-36 b,2016,1.422614,0.0223,0,3.9,0.01227,1.43,0.128,0.013,7.2,1224,110.09,4916,4.62,-0.57,0.79,0.72,-0.09,1.4
1229,K2-36,K2-36 c,2016,5.340888,0.054,0,7.8,0.02454,3.2,0.285,0.029,1.3,788,110.09,4916,4.62,-0.57,0.79,0.72,-0.09,1.4
1230,K2-37,K2-37 b,2016,4.44117,0.0511,,3.22,0.0101,1.61,0.144,0.015,4.24,974,180.86,5413,4.52,-0.469,0.9,0.85,-0.03,
1231,K2-37,K2-37 c,2016,6.42904,0.0654,,8,0.0252,2.75,0.245,0.025,2.11,861,180.86,5413,4.52,-0.469,0.9,0.85,-0.03,
1232,K2-37,K2-37 d,2016,14.09189,0.1103,,7.9,0.0249,2.73,0.244,0.025,2.13,663,180.86,5413,4.52,-0.469,0.9,0.85,-0.03,
1233,K2-38,K2-38 b,2016,4.01593,0.05073,,19.0698,0.06,1.906,0.17,0.017,17.5,1184,193.71,5757,4.35,0,2.24,1.38,0.28,
1234,K2-38,K2-38 c,2016,10.56103,0.0964,,9.9,0.03115,2.42,0.216,0.022,3.6,858,193.71,5757,4.35,0,2.24,1.38,0.28,
1235,K2-39,K2-39 b,2016,4.60543,0.05708,0,28.6047,0.09,6.277,0.56,0.058,0.5,1670,310.14,4881,3.44,0.674,0.66,2.97,0.32,3.09
1236,K2-4,K2-4 b,2015,10.003417,0.078,0.08,5.06,0.0159,2.1,0.187,0.019,3,563,233.37,4014.73,4.85,-0.986,0.64,0.57,-0.12,
1237,K2-42,K2-42 b,2016,6.68796,0.0617,,5.27,0.0166,2.15,0.192,0.02,2.91,,401.36,4613,4.66,-0.703,0.7,0.64,,
1238,K2-43,K2-43 b,2016,3.471149,0.03784,0.07,18.5,0.0583,4.51,0.402,0.041,1.11,939,183.48,3840.6,4.7,-1.212,0.57,0.54,,
1239,K2-43,K2-43 c,2019,2.198884,,,6.44,0.0203,2.42,0.216,0.022,2.5,1094,183.48,3840.6,4.7,-1.212,0.57,0.54,,
1240,K2-44,K2-44 b,2016,5.65688,0.0651,,7.85,0.0247,2.72,0.243,0.025,2.14,,483.19,5912,4.1,0.43,1.15,1.58,0.04,
1241,K2-45,K2-45 b,2016,1.7292684,0.0224,0.1,36.4,0.114,6.71,0.599,0.061,0.662,,502.34,4103,4.82,-0.74,0.5,0.45,,
1242,K2-46,K2-46 b,2016,19.1541,0.13821,,4.86,0.0153,2.05,0.183,0.019,3.1,,454.93,6256,4.2,0.413,0.96,1.29,-0.32,
1243,K2-47,K2-47 b,2016,31.6372,0.1779,,4.23,0.0133,1.89,0.169,0.017,3.44,,353.38,5054,4.54,-0.482,0.75,0.76,,
1244,K2-48,K2-48 b,2016,20.5065,0.1344,,5.65,0.0178,2.24,0.2,0.021,2.76,,316.61,4899,4.6,-0.657,0.77,0.73,,
1245,K2-49,K2-49 b,2016,2.77065,0.0309,,4.38,0.0138,1.93,0.172,0.018,3.35,,463.06,4175,4.81,-0.774,0.51,0.45,,
1246,K2-5,K2-5 b,2015,5.73594,0.0532,,4.31,0.0136,1.91,0.17,0.018,3.4,565,204.12,3930,4.71,-1.083,0.61,0.57,-0.33,
1247,K2-5,K2-5 c,2015,10.93241,0.0818,,5.73,0.018,2.26,0.202,0.021,2.73,456,204.12,3930,4.71,-1.083,0.61,0.57,-0.33,
1248,K2-50,K2-50 b,2016,8.7529,0.0705,,3.15,0.00993,1.59,0.142,0.015,4.31,,259.33,4326,4.74,-0.874,0.61,0.63,,
1249,K2-52,K2-52 b,2016,3.535055,0.054,,45700,144,18,1.606,0.165,43.1,2004,1041.7,7147,3.98,0.027,1.69,2.19,0.055,
1250,K2-53,K2-53 b,2016,12.20772,0.098,,7.27,0.0229,2.6,0.232,0.024,2.27,665,139.1,5263,4.55,-0.633,0.85,0.81,-0.037,
1251,K2-54,K2-54 b,2016,9.7843,0.0671,,1.6,0.00505,1.15,0.103,0.011,5.78,,175.84,3798,4.89,-1.011,0.42,0.38,,
1252,K2-55,K2-55 b,2016,2.849258,0.03486,0.07,14,0.044,3.82,0.341,0.035,1.38,,160.26,4456,4.67,-0.821,0.7,0.63,,
1253,K2-57,K2-57 b,2016,9.0063,0.0746,,5.06,0.0159,2.1,0.187,0.019,3,,266.23,4434,4.68,-0.83,0.68,0.62,,
1254,K2-58,K2-58 b,2016,7.05254,0.0692,,7.65,0.0241,2.68,0.239,0.025,2.18,,182.69,5413,4.52,-0.412,0.89,0.86,0.11,
1255,K2-58,K2-58 c,2016,2.53726,0.035,,3.26,0.0102,1.62,0.145,0.015,4.21,,182.69,5413,4.52,-0.412,0.89,0.86,0.11,
1256,K2-58,K2-58 d,2016,22.8827,0.1517,,3.57,0.0112,1.71,0.153,0.016,3.92,,182.69,5413,4.52,-0.412,0.89,0.86,0.11,
1257,K2-59,K2-59 b,2016,20.6921,0.1354,,6.39,0.0201,2.41,0.215,0.022,2.51,,314.09,5055,4.59,-0.66,0.77,0.73,,
1258,K2-59,K2-59 c,2016,11.2954,0.0905,,5.9,0.0186,2.3,0.205,0.021,2.66,,314.09,5055,4.59,-0.66,0.77,0.73,,
1259,K2-6,K2-6 b,2015,30.94191,0.1898,,6.8,0.0214,2.5,0.223,0.023,2.39,615,319.59,5850,4.4,-0.12,0.97,0.96,-0.14,
1260,K2-60,K2-60 b,2016,3.00265,0.045,0,135.39558,0.426,7.656,0.683,0.07,1.7,1400,498.7,5500,4.07,0.24,0.97,1.12,0.01,10
1261,K2-61,K2-61 b,2016,2.57302,0.0392,,6.71,0.0211,2.48,0.221,0.023,2.42,,410.35,6293,4.25,-0.036,1.21,1.36,0.17,
1262,K2-62,K2-62 b,2016,6.67202,0.0636,,5.22,0.0164,2.14,0.191,0.02,2.93,,112.83,4880,4.6,-0.781,0.77,0.73,-0.29,
1263,K2-62,K2-62 c,2016,16.1966,0.1148,,5.22,0.0164,2.14,0.191,0.02,2.93,,112.83,4880,4.6,-0.781,0.77,0.73,-0.29,
1264,K2-63,K2-63 b,2016,20.257,0.1627,,10.5,0.0329,3.22,0.287,0.03,1.73,,524.41,6771,4.15,0.219,1.4,1.63,,
1265,K2-63,K2-63 c,2016,25.4556,0.189,,14.5,0.0455,3.9,0.348,0.036,1.34,,524.41,6771,4.15,0.219,1.4,1.63,,
1266,K2-64,K2-64 b,2016,6.53044,0.0619,,4.94,0.0155,2.07,0.185,0.019,3.06,,506.87,5312,4.58,-0.265,0.74,0.73,,
1267,K2-65,K2-65 b,2016,12.6475,0.1014,,3.12,0.00982,1.58,0.141,0.014,4.35,,78.06,5213,4.53,-0.328,0.87,0.84,-0.34,
1268,K2-66,K2-66 b,2016,5.06963,0.05983,0,21.3,0.06702,2.49,0.222,0.023,7.8,1372,520.43,5887,4.03,0.506,1.11,1.67,-0.047,
1269,K2-68,K2-68 b,2016,8.05428,0.0708,,3.12,0.00982,1.58,0.141,0.014,4.35,,169.47,4746,4.63,-0.673,0.73,0.68,-0.21,
1270,K2-69,K2-69 b,2016,7.06599,0.0591,,5.99,0.0189,2.32,0.207,0.021,2.64,,181.63,4127,4.79,-1.2,0.55,0.49,,
1271,K2-7,K2-7 b,2015,28.67992,0.1814,,7.61,0.0239,2.67,0.238,0.024,2.2,651,754.64,5772,3.82,0.405,0.97,0.96,-0.07,
1272,K2-70,K2-70 b,2016,13.97896,0.1112,,8.7,0.0274,2.89,0.258,0.026,1.98,,234.47,5622,4.48,-0.457,0.94,0.93,0.06,
1273,K2-71,K2-71 b,2016,6.98541,0.0559,,5.27,0.0166,2.15,0.192,0.02,2.91,,153.86,4006,4.85,-1.38,0.48,0.43,,
1274,K2-72,K2-72 b,2016,5.577212,0.04,0.11,1.28,0.00403,1.08,0.096,0.01,5.58,,66.56,3360.47,5.05,-1.9,0.27,0.33,,
1275,K2-72,K2-72 c,2016,15.189034,0.078,0.11,1.65,0.00521,1.16,0.103,0.011,5.81,,66.56,3360.47,5.05,-1.9,0.27,0.33,,
1276,K2-72,K2-72 d,2016,7.760178,0.05,0.11,1.01,0.00317,1.01,0.09,0.009,5.39,,66.56,3360.47,5.05,-1.9,0.27,0.33,,
1277,K2-72,K2-72 e,2016,24.158868,0.106,0.11,2.21,0.00696,1.29,0.115,0.012,5.66,,66.56,3360.47,5.05,-1.9,0.27,0.33,,
1278,K2-73,K2-73 b,2016,7.49543,0.07619,,6.57,0.0207,2.45,0.219,0.022,2.45,,271.27,5922,4.41,0.054,1.05,1.06,0.09,
1279,K2-74,K2-74 b,2016,19.5666,0.1402,,5.95,0.0187,2.31,0.206,0.021,2.65,,381.85,6060,4.44,0.06,0.96,0.98,-0.21,
1280,K2-75,K2-75 b,2016,7.8142,0.081,,7.61,0.0239,2.67,0.238,0.024,2.2,,570.86,5995,4.12,0.349,1.16,1.56,0.3,
1281,K2-75,K2-75 c,2016,18.311,0.1429,,8.1,0.0255,2.77,0.247,0.025,2.09,,570.86,5995,4.12,0.349,1.16,1.56,0.3,
1282,K2-77,K2-77 b,2016,8.199796,0.076,0.14,603.877,1.9,2.3,0.205,0.021,,,142.31,4970,4.47,-0.5,0.8,0.76,0.29,0.85
1283,K2-79,K2-79 b,2016,10.99573,0.0987,,13.2,0.0415,3.69,0.329,0.034,1.44,,257.9,5926,4.25,0.018,1.06,1.28,0.2,
1284,K2-8,K2-8 b,2015,10.35239,0.0856,,12.5,0.0394,3.58,0.319,0.033,1.5,631,407.93,4870,4.52,-0.583,0.78,0.74,-0.02,
1285,K2-8,K2-8 c,2016,5.06416,0.0532,,6.39,0.0201,2.41,0.215,0.022,2.51,801,407.93,4870,4.52,-0.583,0.78,0.74,-0.02,
1286,K2-80,K2-80 b,2016,19.0918,0.135,,4.7,0.0148,2.01,0.179,0.018,3.18,,201.96,5441,4.52,-0.432,0.9,0.87,0.07,
1287,K2-80,K2-80 c,2016,5.605,0.0596,,2.76,0.00869,1.47,0.131,0.013,4.77,,201.96,5441,4.52,-0.432,0.9,0.87,0.07,
1288,K2-80,K2-80 d,2018,28.867253,,,7.04,0.0222,2.552,0.228,0.023,2.33,,201.96,5441,4.52,-0.432,0.9,0.87,0.07,
1289,K2-81,K2-81 b,2016,6.102325,0.059,0.06,4.54,0.0143,1.97,0.176,0.018,3.26,,254.14,4674.13,4.67,-0.761,0.75,0.63,,
1290,K2-83,K2-83 b,2016,2.74697,0.03014,0.07,2.08,0.00654,1.244,0.111,0.011,5.94,,125.98,3910,4.86,-1.42,0.48,0.42,,
1291,K2-83,K2-83 c,2016,9.99767,0.07131,0.06,2.8,0.00882,1.483,0.132,0.014,4.72,,125.98,3910,4.86,-1.42,0.48,0.42,,
1292,K2-84,K2-84 b,2016,6.4215,0.0665,,6.39,0.0201,2.41,0.215,0.022,2.51,,287.23,5652,4.48,-0.423,0.95,0.93,,
1293,K2-84,K2-84 c,2016,27.86,0.1768,,4.78,0.015,2.03,0.181,0.019,3.14,,287.23,5652,4.48,-0.423,0.95,0.93,,
1294,K2-85,K2-85 b,2016,0.684533,0.01263,0.24,1.01,0.00317,1.01,0.09,0.009,5.39,,97.49,4268,4.78,-0.837,0.57,0.51,-0.14,
1295,K2-86,K2-86 b,2016,8.77683,0.077,,4.5,0.0142,1.96,0.175,0.018,3.28,,260.61,5482,4.58,-0.386,0.79,0.76,-0.35,
1296,K2-87,K2-87 b,2016,9.726618,0.094,,44.9,0.141,7.6,0.678,0.07,0.562,979,503.6,5747,4.21,-0.098,1.16,1.4,0.328,
1297,K2-88,K2-88 b,2016,4.6122,0.0345,0.26,2.04,0.00642,1.23,0.11,0.011,6.02,,110.91,3537,5.02,-2.03,0.26,0.26,,
1298,K2-89,K2-89 b,2016,1.096026,0.01462,0.15,0.17,0.00053,0.615,0.055,0.006,4.02,,86.25,3691,4.96,-1.77,0.35,0.32,,
1299,K2-9,K2-9 b,2015,18.4498,0.091,,5.69,0.0179,2.25,0.201,0.021,2.74,314,83.16,3390,4.82,-1.921,0.3,0.31,-0.25,1
1300,K2-90,K2-90 b,2016,13.733314,0.096,0.07,7.27,0.0229,2.6,0.232,0.024,2.27,502,134.9,4484,4.65,-0.968,0.63,0.62,-0.225,
1301,K2-90,K2-90 c,2016,2.900706,0.035,0.19,2.24,0.00705,1.3,0.116,0.012,5.6,,134.9,4484,4.65,-0.968,0.63,0.62,-0.225,
1302,K2-91,K2-91 b,2016,1.419549,0.0164,0.09,1.37,0.0043,1.1,0.098,0.01,5.66,,62.69,3622,5,-1.9,0.29,0.28,,
1303,K2-95,K2-95 b,2016,10.134016,0.0696,0.16,14.3,0.0451,3.88,0.346,0.036,1.35,383,180.63,3548,4.84,-1.635,0.44,0.42,-0.03,0.79
1304,K2-97,K2-97 b,2016,8.406726,0.086,0.22,152.5584,0.48,10.61,0.947,0.097,0.702,1499,869.76,4717,3.22,0.919,1.2,4.47,0.33,7.8
1305,K2-98,K2-98 b,2016,10.136448,0.0974,0,32.2,0.10131,5.2,0.464,0.048,2.15,1092,526.31,6172,4.13,0.489,1.2,1.57,-0.06,5.2
1306,K2-99,K2-99 b,2016,18.251985,0.1597,0.19,308.2951,0.97,11.73,1.046,0.107,1.05,1113,522.29,6217,3.81,0.931,1.63,2.63,0.21,2.4
1307,KELT-1,KELT-1 b,2012,1.217514,0.02466,0.0099,8654.15,27.23,12.442,1.11,0.114,24.7,,262,6518,,0.542,1.32,1.46,,
1308,KELT-10,KELT-10 b,2016,4.1662739,0.0525,,215.80657,0.679,15.681,1.399,0.144,0.308,1377,183,5948,4.32,0.217,1.11,1.21,0.09,4.5
1309,KELT-11,KELT-11 b,2017,4.7361,0.06229,0.0007,54.34893,0.171,15.132,1.35,0.139,0.093,1712,99.44,5375,3.7,0.753,1.44,2.69,0.17,
1310,KELT-12,KELT-12 b,2017,5.031623,0.06708,0,301.9385,0.95,19.952,1.78,0.183,0.209,1800,360,6279,3.89,0.892,1.59,2.37,0.19,2.2
1311,KELT-14,KELT-14 b,2016,1.7100566,0.03005,0,408.09372,1.284,19.537,1.743,0.179,0.322,1970,266,5720,4.17,0.344,1.24,1.52,0.32,5.11
1312,KELT-15,KELT-15 b,2016,3.32944,0.04613,0,416.3573,1.31,19.504,1.74,0.179,0.36,1642,327.74,6003,4.17,0.47,2.06,1.78,0.05,
1313,KELT-16,KELT-16 b,2017,0.9689951,0.02044,0,874.0325,2.75,15.861,1.415,0.145,1.2,2453,450.28,6236,4.25,0.401,1.21,1.36,-0.002,3.1
1314,KELT-17,KELT-17 b,2016,3.0801716,0.04881,,416.3573,1.31,17.094,1.525,0.157,0.46,2087,210,7454,4.22,0.876,1.64,1.65,-0.018,0.65
1315,KELT-18,KELT-18 b,2017,2.8717518,0.0455,0,375.0394,1.18,17.598,1.57,0.161,0.377,2085,311,6670,4.06,0.813,1.52,1.91,0.09,1.9
1316,KELT-19 A,KELT-19 A b,2017,4.6117093,0.0637,,1293.5681,4.07,21.409,1.91,0.196,0.744,1935,302.8,7500,4.13,0.978,1.62,1.83,-0.12,
1317,KELT-2 A,KELT-2 A b,2012,4.11379,0.05497,0,540.311,1.7,15.132,1.35,0.139,0.91,,134.57,6327,4.5,0.689,1.54,1.93,0,3.97
1318,KELT-20,KELT-20 b,2017,3.4741085,0.0542,0,1074.90106,3.382,19.515,1.741,0.179,0.806,2262,139.7,8720,4.29,1.104,1.76,1.56,-0.29,0.6
1319,KELT-21,KELT-21 b,2018,3.6127647,0.05224,0,1242.7153,3.91,17.777,1.586,0.163,1.24,2051,415,7598,4.17,0.905,1.46,1.64,-0.405,1.6
1320,KELT-23 A,KELT-23 A b,2019,2.255251,0.03302,0,298.12454,0.938,14.83,1.323,0.136,0.503,1561,125.42,5899,4.42,0.034,0.94,1,-0.105,6.4
1321,KELT-24,KELT-24 b,2019,5.5514926,0.06969,0.077,1646.3594,5.18,14.258,1.272,0.131,3.13,1459,96.03,6509,4.25,0.565,1.46,1.51,0.186,0.78
1322,KELT-3,KELT-3 b,2013,2.70339,0.04123,0,616.5902,1.94,17.486,1.56,0.16,0.75,1816,211.35,6304,4.2,0.608,1.96,1.7,0.05,3
1323,KELT-4 A,KELT-4 A b,2016,2.9895932,0.04317,0,286.68266,0.902,19.044,1.699,0.175,0.228,1823,210,6206,4.11,0.535,1.2,1.6,-0.116,4.44
1324,KELT-6,KELT-6 b,2014,7.8457,0.07939,0.22,165.2716,0.52,14.572,1.3,0.134,0.311,1313,242.39,6102,4.07,0.555,1.42,1.73,-0.28,6.1
1325,KELT-6,KELT-6 c,2015,1276,2.39,0.21,1179.1493,3.71,13,1.16,0.119,2.95,,242.39,6102,4.07,0.555,1.42,1.73,-0.28,6.1
