rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
36,7 CMa,7 CMa c,2019,996,2.153,0.08,276.5121,0.87,13.9,1.24,0.127,0.566,,19.82,4826,3.19,1.063,1.34,4.87,0.21,4.3
37,70 Vir,70 Vir b,1996,116.688,0.481,0.3988,2380.45,7.49,12.6,1.13,0.116,6.54,,17.91,5495,3.95,0.487,1.09,1.89,-0.11,7.92
38,75 Cet,75 Cet b,2012,691.9,2.1,0.117,953.49,3,13.1,1.17,0.121,2.33,,83.15,4846,2.63,1.73,2.49,10.5,0,
39,8 UMi,8 UMi b,2015,93.4,0.49,0.06,416.3573,1.31,13.6,1.22,0.125,0.91,,163.32,4847,2.57,1.725,1.44,10.3,-0.03,1.7
40,81 Cet,81 Cet b,2008,952.7,2.5,0.206,1684.4,5.3,12.8,1.14,0.118,4.41,,101.53,4785,2.35,1.778,2.4,11,-0.06,
41,91 Aqr,91 Aqr b,2013,181.4,0.7,0.027,1017,3.2,13.1,1.17,0.12,2.49,,44.08,4665,2.52,1.692,1.4,11,-0.03,3.56
42,AB Pic,AB Pic b,2005,,260,,4290.5,13.5,12.3,1.1,0.113,12.7,,50.12,5378,4.44,-0.226,0.9,1,-0.05,0.03
43,BD+03 2562,BD+03 2562 b,2017,481.9,1.3,0.2,2034.112,6.4,12.7,1.13,0.117,5.46,,2618,4095,1.89,2.7,1.14,32.35,-0.71,5.2
44,BD+14 4559,BD+14 4559 b,2009,268.94,0.78,0.29,330.5432,1.04,13.8,1.23,0.126,0.691,,49.42,4864,4.26,-0.424,0.49,0.86,0.17,
45,BD+15 2375,BD+15 2375 b,2016,153.22,0.576,0.001,337.21763,1.061,13.8,1.23,0.126,0.705,,774,4649,2.61,1.57,1.08,8.95,-0.22,7.41
46,BD+15 2940,BD+15 2940 b,2013,137.48,0.539,0.26,352.78,1.11,13.7,1.23,0.126,0.754,,431.61,4796,2.8,2.01,1.1,14.7,0.28,7.1
47,BD+20 2457,BD+20 2457 b,2009,379.63,1.05,0.15,17668.1697,55.59,11.6,1.03,0.106,62.2,,1670.85,4259,1.77,2.768,10.83,71.02,-0.79,
48,BD+20 2457,BD+20 2457 c,2009,621.99,2.01,0.18,3963.17,12.47,12.4,1.1,0.113,11.4,,1670.85,4259,1.77,2.768,10.83,71.02,-0.79,
49,BD+20 274,BD+20 274 b,2012,578.2,1.3,0.21,1334.886,4.2,13,1.16,0.119,3.34,,1383.85,4296,1.99,1.96,0.8,17.3,-0.46,
50,BD+20 594,BD+20 594 b,2016,41.6855,0.241,0,22.2481,0.07,2.578,0.23,0.024,7.89,546,180.39,5766,4.5,0.05,1.67,1.08,-0.15,3.34
51,BD+48 738,BD+48 738 b,2011,392.6,1,0.2,289.2253,0.91,13.9,1.24,0.127,0.592,,892.17,4414,2.24,1.69,0.74,11,-0.2,
52,BD+48 740,BD+48 740 b,2018,733,1.7,0.76,540.311,1.7,13.5,1.2,0.124,1.21,,678.94,4534,2.48,1.64,1.09,10.33,-0.13,
53,BD+49 828,BD+49 828 b,2015,2590,4.2,0.35,508.5,1.6,13.5,1.21,0.124,1.14,,447.59,4943,2.85,1.47,1.52,7.6,-0.19,2.34
