hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
HD 206255,HD 206255 b,Radial Velocity,2019,96.045,34.2,6.47,0.694,75.4,7.618,V (Johnson),5.979,5635,,0.652,1.42,2.22,
HD 206610,HD 206610 b,Radial Velocity,2009,673.2,647.10188,13.4,1.48,147.78,8.34,V (Johnson),5.952,4842,3.22,1.044,1.55,6.12,3
HD 20781,HD 20781 b,Radial Velocity,2019,5.3135,1.93,1.21,5.99,35.37,8.48,V (Johnson),6.553,5256,4.37,-0.31,0.7,0.83,
HD 20781,HD 20781 c,Radial Velocity,2019,13.8905,5.33,2.17,2.87,35.37,8.48,V (Johnson),6.553,5256,4.37,-0.31,0.7,0.83,
HD 20781,HD 20781 d,Radial Velocity,2019,29.158,10.61,3.25,1.7,35.37,8.48,V (Johnson),6.553,5256,4.37,-0.31,0.7,0.83,
HD 20781,HD 20781 e,Radial Velocity,2019,85.5073,14.03,3.83,1.37,35.37,8.48,V (Johnson),6.553,5256,4.37,-0.31,0.7,0.83,
HD 20782,HD 20782 b,Radial Velocity,2006,597.0643,472.83,13.6,1.03,36.02,7.4,V (Johnson),5.827,5790,4.38,0.107,1.07,1.11,5.53
HD 207832,HD 207832 b,Radial Velocity,2012,160.07,177.9848,14.2,0.342,59.03,8.78,V (Johnson),7.207,5726,4.48,-0.11,1.05,0.89,1.36
HD 207832,HD 207832 c,Radial Velocity,2012,1155.7,232.0159,14,0.465,59.03,8.78,V (Johnson),7.207,5726,4.48,-0.11,1.05,0.89,1.36
HD 20794,HD 20794 b,Radial Velocity,2011,18.315,2.7,1.45,4.87,6,4.27,V (Johnson),2.636,5401,4.22,-0.163,0.7,0.92,5.76
HD 20794,HD 20794 c,Radial Velocity,2011,40.114,2.4,1.35,5.36,6,4.27,V (Johnson),2.636,5401,4.22,-0.163,0.7,0.92,5.76
HD 20794,HD 20794 d,Radial Velocity,2011,90.309,4.8,2.04,3.11,6,4.27,V (Johnson),2.636,5401,4.22,-0.163,0.7,0.92,5.76
HD 20794,HD 20794 e,Radial Velocity,2017,147.02,4.77,2.03,3.13,6,4.27,V (Johnson),2.636,5401,4.22,-0.163,0.7,0.92,5.76
HD 208487,HD 208487 b,Radial Velocity,2004,130.08,165.265,14.2,0.317,44,7.471,V (Johnson),6.159,6067,4.33,0.244,1.13,1.2,3.96
HD 208527,HD 208527 b,Radial Velocity,2012,875.5,3146.4,12.5,8.85,314.48,6.4,V (Johnson),2.224,4035,1.4,2.863,1.6,51.1,2
HD 20868,HD 20868 b,Radial Velocity,2008,380.85001,397.2875,13.7,0.849,47.79,9.92,V (Johnson),7.543,4802,4.26,-0.556,0.39,0.76,4.5
HD 208897,HD 208897 b,Radial Velocity,2017,352.7,444.962,13.6,0.972,64.68,6.51,V (Johnson),4.198,4860,3.13,1.09,1.25,4.98,
HD 209458,HD 209458 b,Radial Velocity,1999,3.52474859,232.0159,15.581,0.362,48.37,7.632,V (Johnson),6.308,6091,4.45,0.232,1.23,1.19,3.1
HD 210193,HD 210193 b,Radial Velocity,2019,649.918,153.1,14.3,0.288,42.25,7.823,V (Johnson),6.31,5790,,0.056,1.04,1.06,
HD 210277,HD 210277 b,Radial Velocity,1998,442.19,410.0007,13.6,0.896,21.31,6.53,V (Johnson),4.799,5538,4.38,0,1.01,1.07,12
HD 210702,HD 210702 b,Radial Velocity,2007,354.1,574.63664,13.4,1.31,54.28,5.93,V (Johnson),3.984,4951,3.28,1.121,1.61,4.92,2.1
HD 211810,HD 211810 b,Radial Velocity,2018,1558,212.9461,14,0.426,64.76,8.59,V (Johnson),6.969,5652,,0.07,1.03,1.13,
