hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
11 Com,11 Com b,Radial Velocity,2007,326.03,6165.6,12.1,19.1,93.37,4.74,V (Johnson),2.282,4742,2.31,2.243,2.7,19,
11 UMi,11 UMi b,Radial Velocity,2009,516.21997,4684.8142,12.3,13.8,125.72,5.016,V (Johnson),1.939,4213,1.93,2.43,2.78,29.79,1.56
14 And,14 And b,Radial Velocity,2008,185.84,1525.5,12.9,3.9,75.59,5.227,V (Johnson),2.331,4813,2.63,1.763,2.2,11,4.5
14 Her,14 Her b,Radial Velocity,2002,1773.40002,1481.0878,12.9,3.79,17.94,6.61,V (Johnson),4.714,5338,4.45,-0.151,0.9,0.93,5.24
16 Cyg B,16 Cyg B b,Radial Velocity,1996,798.5,565.7374,13.5,1.26,21.15,6.25,V (Johnson),4.651,5750,4.36,0.1,1.08,1.13,7.4
18 Del,18 Del b,Radial Velocity,2008,993.3,3273.5,12.5,9.21,76.38,5.506,V (Johnson),3.366,4979,2.82,1.602,2.3,8.5,1.1
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,2008,,3000,18.647,2.54,145,12.057,G (Gaia),8.916,4060,,-0.37,0.85,1.18,0.005
24 Boo,24 Boo b,Radial Velocity,2018,30.3506,289.2253,13.9,0.592,96.25,5.58,V (Johnson),3.159,4893,2.42,1.774,0.99,10.64,6.92
24 Sex,24 Sex b,Radial Velocity,2010,452.8,632.46,13.4,1.44,72.21,6.441,V (Johnson),4.285,5098,3.5,1.164,1.54,4.9,2.7
24 Sex,24 Sex c,Radial Velocity,2010,883,273.32,13.9,0.559,72.21,6.441,V (Johnson),4.285,5098,3.5,1.164,1.54,4.9,2.7
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,2013,,7786.5,11.209,30.4,36,14.24,V (Johnson),9.198,3530,,-1.72,0.4,,0.12
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,2015,,4417.837,16.141,5.77,39.4,15.012,G (Gaia),10.404,3064,4.59,-2.23,0.11,0.28,0.035
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,2010,,2383.6,12.6,6.55,140,18.967,G (Gaia),13.161,,,,0.02,,0.001
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,2004,,1271,13,3.18,64.42,20.15,V (Johnson),11.945,,,,0.02,,0.008
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,603.877,13.4,1.38,400.77,12.138,G (Gaia),12.955,10868,3.91,0.168,0.48,0.34,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,6657.48,10.31,33.4,25,17.396,G (Gaia),11.826,2300,,-3.48,0.08,0.12,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,Imaging,2016,,3972.875,12.3,11.7,74,12.51,V (Johnson),9.148,4045,,-1.021,0.6,0.62,0.12
30 Ari B,30 Ari B b,Radial Velocity,2009,335.10001,4392.4106,12.3,13,44.71,6.962,V (Johnson),5.822,6331,4.43,0.381,1.93,1.41,0.91
4 UMa,4 UMa b,Radial Velocity,2006,269.3,2256.5,12.7,6.05,73.58,4.61,V (Johnson),1.734,4415,1.8,2.062,1.23,18.11,4.604
42 Dra,42 Dra b,Radial Velocity,2008,479.1,1233.13,13,3.08,90.86,4.82,V (Johnson),2.085,4200,1.71,2.155,0.98,22.03,9.49
47 UMa,47 UMa b,Radial Velocity,1996,1078,804.08,13.2,1.92,13.8,5.05,V (Johnson),3.75,5892,4.27,0.216,1.03,1.23,7.3
47 UMa,47 UMa c,Radial Velocity,2001,2391,171.621,14.2,0.329,13.8,5.05,V (Johnson),3.75,5892,4.27,0.216,1.03,1.23,7.3
47 UMa,47 UMa d,Radial Velocity,2009,14002,521.22,13.5,1.16,13.8,5.05,V (Johnson),3.75,5892,4.27,0.216,1.03,1.23,7.3
51 Eri,51 Eri b,Imaging,2015,11688,635.66,13.4,1.45,29.4,5.23,V (Johnson),4.537,7190.1,,0.85,1.75,1.56,0.02
51 Peg,51 Peg b,Radial Velocity,1995,4.230785,146.2018,14.3,0.275,15.47,5.5,V (Johnson),3.911,5793,4.33,0.147,1.12,1.2,4
55 Cnc,55 Cnc b,Radial Velocity,1996,14.65152,263.9785,13.9,0.54,12.59,5.96,V (Johnson),4.015,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,55 Cnc c,Radial Velocity,2004,44.4175,54.4738,8.51,0.486,12.59,5.96,V (Johnson),4.015,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,55 Cnc d,Radial Velocity,2002,4825,1232.493,13,3.08,12.59,5.96,V (Johnson),4.015,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,55 Cnc e,Radial Velocity,2004,0.736539,8.08,1.91,6.4,12.59,5.96,V (Johnson),4.015,5196,4.45,-0.235,0.91,0.94,10.2
55 Cnc,55 Cnc f,Radial Velocity,2007,262,44.812,7.59,0.563,12.59,5.96,V (Johnson),4.015,5196,4.45,-0.235,0.91,0.94,10.2
6 Lyn,6 Lyn b,Radial Velocity,2008,934.3,638.8383,13.4,1.46,54.74,5.86,V (Johnson),3.701,4938,3.19,1.156,1.44,5.2,2.353
61 Vir,61 Vir b,Radial Velocity,2009,4.215,5.1,2.11,2.98,8.51,4.74,V (Johnson),2.956,5577,4.34,-0.095,0.94,0.96,8.96
61 Vir,61 Vir c,Radial Velocity,2009,38.021,18.2,4.46,1.13,8.51,4.74,V (Johnson),2.956,5577,4.34,-0.095,0.94,0.96,8.96
61 Vir,61 Vir d,Radial Velocity,2009,123.01,22.9,5.11,0.943,8.51,4.74,V (Johnson),2.956,5577,4.34,-0.095,0.94,0.96,8.96
7 CMa,7 CMa b,Radial Velocity,2011,735.1,587.9855,13.4,1.34,19.82,3.92,V (Johnson),1.564,4826,3.19,1.063,1.34,4.87,4.3
7 CMa,7 CMa c,Radial Velocity,2019,996,276.5121,13.9,0.566,19.82,3.92,V (Johnson),1.564,4826,3.19,1.063,1.34,4.87,4.3
70 Vir,70 Vir b,Radial Velocity,1996,116.688,2380.45,12.6,6.54,17.91,4.97,V (Johnson),3.5,5495,3.95,0.487,1.09,1.89,7.92
75 Cet,75 Cet b,Radial Velocity,2012,691.9,953.49,13.1,2.33,83.15,5.35,V (Johnson),3.207,4846,2.63,1.73,2.49,10.5,
8 UMi,8 UMi b,Radial Velocity,2015,93.4,416.3573,13.6,0.91,163.32,6.83,V (Johnson),4.515,4847,2.57,1.725,1.44,10.3,1.7
81 Cet,81 Cet b,Radial Velocity,2008,952.7,1684.4,12.8,4.41,101.53,5.65,V (Johnson),3.266,4785,2.35,1.778,2.4,11,
91 Aqr,91 Aqr b,Radial Velocity,2013,181.4,1017,13.1,2.49,44.08,4.25,V (Johnson),1.597,4665,2.52,1.692,1.4,11,3.56
AB Pic,AB Pic b,Imaging,2005,,4290.5,12.3,12.7,50.12,9.128,V (Johnson),6.981,5378,4.44,-0.226,0.9,1,0.03
BD+03 2562,BD+03 2562 b,Radial Velocity,2017,481.9,2034.112,12.7,5.46,2618,9.58,V (Johnson),6.021,4095,1.89,2.7,1.14,32.35,5.2
BD+14 4559,BD+14 4559 b,Radial Velocity,2009,268.94,330.5432,13.8,0.691,49.42,9.63,V (Johnson),7.336,4864,4.26,-0.424,0.49,0.86,
BD+15 2375,BD+15 2375 b,Radial Velocity,2016,153.22,337.21763,13.8,0.705,774,10.31,V (Johnson),7.718,4649,2.61,1.57,1.08,8.95,7.41
BD+15 2940,BD+15 2940 b,Radial Velocity,2013,137.48,352.78,13.7,0.754,431.61,9.046,V (Johnson),6.525,4796,2.8,2.01,1.1,14.7,7.1
BD+20 2457,BD+20 2457 b,Radial Velocity,2009,379.63,17668.1697,11.6,62.2,1670.85,9.75,V (Johnson),6.42,4259,1.77,2.768,10.83,71.02,
BD+20 2457,BD+20 2457 c,Radial Velocity,2009,621.99,3963.17,12.4,11.4,1670.85,9.75,V (Johnson),6.42,4259,1.77,2.768,10.83,71.02,
BD+20 274,BD+20 274 b,Radial Velocity,2012,578.2,1334.886,13,3.34,1383.85,9.36,V (Johnson),6.169,4296,1.99,1.96,0.8,17.3,
BD+20 594,BD+20 594 b,Transit,2016,41.6855,22.2481,2.578,7.89,180.39,11.038,V (Johnson),9.368,5766,4.5,0.05,1.67,1.08,3.34
BD+48 738,BD+48 738 b,Radial Velocity,2011,392.6,289.2253,13.9,0.592,892.17,9.14,V (Johnson),5.904,4414,2.24,1.69,0.74,11,
BD+48 740,BD+48 740 b,Radial Velocity,2018,733,540.311,13.5,1.21,678.94,8.699,V (Johnson),5.645,4534,2.48,1.64,1.09,10.33,
BD+49 828,BD+49 828 b,Radial Velocity,2015,2590,508.5,13.5,1.14,447.59,9.38,V (Johnson),6.571,4943,2.85,1.47,1.52,7.6,2.34
BD-06 1339,BD-06 1339 b,Radial Velocity,2013,3.8728,8.5,2.85,2.02,20.28,9.7,V (Johnson),6.305,4324,4.74,-1.022,0.7,0.67,4.4
BD-06 1339,BD-06 1339 c,Radial Velocity,2013,125.94,53,8.38,0.495,20.28,9.7,V (Johnson),6.305,4324,4.74,-1.022,0.7,0.67,4.4
BD-08 2823,BD-08 2823 b,Radial Velocity,2009,5.6,12.7132,3.61,1.48,41.38,9.88,V (Johnson),7.323,4816,4.43,-0.626,0.5,0.71,4.5
BD-08 2823,BD-08 2823 c,Radial Velocity,2009,237.6,104,12.5,0.293,41.38,9.88,V (Johnson),7.323,4816,4.43,-0.626,0.5,0.71,4.5
BD-10 3166,BD-10 3166 b,Radial Velocity,2000,3.48777,187.5197,14.1,0.368,84.61,10.08,V (Johnson),8.124,5393,4.69,-0.191,1.47,0.91,1
BD-11 4672,BD-11 4672 b,Radial Velocity,2014,1667,168.44,14.2,0.323,27.3,9.99,V (Johnson),6.867,4475,4.1,-0.881,0.57,0.52,4.4
BD-13 2130,BD-13 2130 b,Radial Velocity,2007,714.29999,3108.3774,12.5,8.75,948.75,9.45,V (Johnson),7.151,4545,2.2,2.043,2.12,19.17,0.74
BD-17 63,BD-17 63 b,Radial Velocity,2008,655.6,1620.9,12.8,4.25,34.49,9.566,V (Johnson),6.914,4714,4.26,-0.678,0.74,0.69,4.3
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,Imaging,2011,10037.5,3337.1,12.4,9.62,23.1,,,,580.5,4.72,,0.02,,
CHXR 73,CHXR 73 b,Imaging,2006,,3994.486,12.3,11.8,191.05,17.293,G (Gaia),10.703,,,,0.35,,0.002
CI Tau,CI Tau b,Radial Velocity,2019,8.9891,3686.828,12.4,10.6,158,12.939,V (Johnson),7.793,3635,,-0.108,0.9,1.88,0.003
CT Cha,CT Cha b,Imaging,2007,,5403,24.66,1.98,165,11.773,G (Gaia),8.661,4200.2,,-0.102,,1.68,0.002
CoRoT-1,CoRoT-1 b,Transit,2008,1.5089557,327.35,16.7,0.38,805.31,13.6,V (Johnson),12.149,5950,4.25,0.298,0.95,1.11,1.6
CoRoT-10,CoRoT-10 b,Transit,2010,13.2406,874,10.87,3.7,345,15.22,V (Johnson),11.782,5075,4.65,-0.726,0.89,0.79,3
CoRoT-11,CoRoT-11 b,Transit,2010,2.99433,740.51,16.03,0.99,560,12.939,V (Johnson),11.248,6440,4.22,0.378,1.27,1.37,2
CoRoT-12,CoRoT-12 b,Transit,2010,2.828042,291.438,16.14,0.411,1150,15.515,V (Johnson),13.557,5675,4.38,0.07,1.08,1.12,6.3
CoRoT-13,CoRoT-13 b,Transit,2010,4.03519,415.704,9.92,2.34,1060,15.039,V (Johnson),13.376,5945,4.46,0.073,1.09,1.01,1.635
CoRoT-14,CoRoT-14 b,Transit,2010,1.51214,2415.4,12.22,7.3,1340,16.033,V (Johnson),13.806,6035,4.35,0.119,1.13,1.21,4.2
CoRoT-16,CoRoT-16 b,Transit,2011,5.35227,170.032,13.11,0.44,840,15.63,V (Johnson),12.847,5650,4.36,-0.435,1.1,1.19,6.73
CoRoT-17,CoRoT-17 b,Transit,2011,3.7681,772.29,11.43,2.82,920,15.46,V (Johnson),12.472,5740,4.4,0.134,1.04,1.59,10.7
CoRoT-18,CoRoT-18 b,Transit,2011,1.9000693,1102.82,14.68,2.2,870,15,V (Johnson),13.014,5440,4.4,-0.226,0.95,1,0.032
CoRoT-19,CoRoT-19 b,Transit,2011,3.89713,352.78,14.46,0.71,770,14.007,V (Johnson),11.837,6090,4.07,0.544,1.21,1.65,5
CoRoT-2,CoRoT-2 b,Transit,2008,1.7429935,1102.82,16.432,1.47,200,12.57,V (Johnson),10.31,5625,4.53,-0.321,0.96,0.91,2.7
CoRoT-20,CoRoT-20 b,Transit,2011,9.24285,1366.669,9.416,8.87,864.31,14.66,V (Johnson),12.513,4947.5,4.35,0.006,1.14,1.37,0.1
CoRoT-20,CoRoT-20 c,Radial Velocity,2018,1675,5403.11,12.2,16.4,864.31,14.66,V (Johnson),12.513,4947.5,4.35,0.006,1.14,1.37,0.1
CoRoT-21,CoRoT-21 b,Transit,2012,2.72474,718.2958,14.572,1.36,1398.83,16,V (Johnson),13.813,6200,3.7,0.705,1.29,1.95,4.1
CoRoT-22,CoRoT-22 b,Transit,2014,9.75598,12.2,4.88,0.249,592,13.944,V (Johnson),11.988,5939,4.36,0.014,1.1,1.14,3.3
CoRoT-23,CoRoT-23 b,Transit,2011,3.6313,889.9,11.77,3,600,15.63,V (Johnson),12.364,5900,4.3,0.087,1.14,1.61,7.2
CoRoT-24,CoRoT-24 b,Transit,2014,5.1134,5.7,3.7,0.9,600,15.18,G (Gaia),12.924,4950,4.55,-0.601,0.91,0.86,11
CoRoT-24,CoRoT-24 c,Transit,2014,11.759,28,5,1.3,600,15.18,G (Gaia),12.924,4950,4.55,-0.601,0.91,0.86,11
CoRoT-25,CoRoT-25 b,Transit,2013,4.86069,85.81,12.11,0.15,1000,14.711,G (Gaia),12.846,6040,4.31,0.141,1.09,1.19,4.5
CoRoT-26,CoRoT-26 b,Transit,2013,4.20474,165.26,14.12,0.28,1670,15.468,G (Gaia),13.261,5590,3.99,0.451,1.09,1.79,8.6
CoRoT-27,CoRoT-27 b,Transit,2014,3.57532,3302.11,11.287,12.6,1035.15,15.54,V (Johnson),12.985,5900,4.4,-0.166,1.05,1.08,4.21
CoRoT-28,CoRoT-28 b,Transit,2015,5.20851,153.82972,10.705,0.69,560,13.412,G (Gaia),11.032,5150,3.6,0.388,1.01,1.78,12
CoRoT-29,CoRoT-29 b,Transit,2015,2.85057,270.1555,10.088,1.45,765,15.239,G (Gaia),13.048,5260,4.3,-0.347,0.97,0.9,4.5
CoRoT-3,CoRoT-3 b,Transit,2008,4.2568,6883.91,11.32,26.4,680,13.292,V (Johnson),11.618,6740,4.22,0.391,1.37,1.56,2.2
CoRoT-4,CoRoT-4 b,Transit,2008,9.20205,228.83,13.34,0.525,741.6,13.561,G (Gaia),12.288,6190,4.41,0.185,1.16,1.17,1
CoRoT-5,CoRoT-5 b,Transit,2009,4.0378962,148.42,15.558,0.217,904.65,13.902,G (Gaia),12.546,6100,4.19,0.223,1,1.19,6.9
CoRoT-6,CoRoT-6 b,Transit,2009,8.886593,940.74,13.068,2.32,657.24,13.912,V (Johnson),12.119,6090,4.43,0.026,1.05,1.02,2.5
CoRoT-7,CoRoT-7 b,Transit,2009,0.85359163,3.1783,1.681,6.61,160.64,11.668,V (Johnson),9.806,5275,4.5,-0.292,0.82,0.83,1.75
CoRoT-7,CoRoT-7 c,Radial Velocity,2009,3.698,8.4,2.83,2.04,160.64,11.668,V (Johnson),9.806,5275,4.5,-0.292,0.82,0.83,1.75
CoRoT-8,CoRoT-8 b,Transit,2010,6.21229,69.92,6.39,1.6,380,14.8,V (Johnson),11.463,5080,4.58,-0.665,0.88,0.77,3
CoRoT-9,CoRoT-9 b,Transit,2009,95.272656,266.9772,11.949,0.86,417.89,13.69,V (Johnson),11.688,5625,4.54,-0.254,0.96,0.96,6
CoRoTID 223977153,CoRoTID 223977153 b,Transit,2017,6.71837,47.6745,6.389,1.1,586.2,13.587,G (Gaia),12.193,5970,4.67,-0.155,1.08,0.79,
DE CVn,DE CVn b,Eclipse Timing Variations,2018,4098.1,3823.2733,12.4,11,30.55,11.975,G (Gaia),8.555,3585.67,,,0.51,,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,9057.77,11.9,29.5,20.77,18.558,G (Gaia),12.062,,,,0.07,,1
DH Tau,DH Tau b,Imaging,2004,,3496,30.264,0.693,140,12.496,G (Gaia),8.178,3751.5,,-0.569,0.33,0.27,0.001
DP Leo,DP Leo b,Eclipse Timing Variations,2009,10220,1995.88832,12.7,5.35,305.06,18.633,G (Gaia),,13500,,-2.4,0.69,0.01,
DS Tuc A,DS Tuc A b,Transit,2019,8.138268,413.179,5.7,,44.12,8.469,V (Johnson),6.676,5428,4.6,-0.14,1.01,0.96,0.045
EPIC 201238110,EPIC 201238110 b,Transit,2019,28.1656,4.16,1.87,3.5,159.98,15.261,G (Gaia),11.933,3588,,,0.41,,
EPIC 201497682,EPIC 201497682 b,Transit,2019,2.13174,0.26,0.692,4.31,254.88,14.102,V (Johnson),11.438,4991,,-0.766,0.78,0.55,
K2-166,EPIC 201615463 c,Transit,2019,3.80464,1.98,1.22,5.99,481,12.074,V (Johnson),10.637,5942.5,4.09,0.458,1.07,1.6,
K2-16,EPIC 201754305 d,Transit,2019,2.71578,1.08,1.03,5.43,338.19,14.67,V (Johnson),12.087,4761,4.63,-0.761,0.67,0.54,
K2-50,EPIC 201833600 c,Transit,2019,3.96151,0.972,1,5.34,259.33,14.717,V (Johnson),11.664,4326,4.74,-0.874,0.61,0.63,
EPIC 201841433,EPIC 201841433 b,Transit,2019,4.16959,1.37,1.1,5.66,441.94,14.867,V (Johnson),12.454,5053,,-0.635,0.8,0.63,
K2-168,EPIC 205950854 c,Transit,2019,8.050722,2.27,1.31,5.55,245.56,12.291,V (Johnson),10.549,5502.7,4.46,-0.176,0.88,0.83,
EPIC 206024342,EPIC 206024342 b,Transit,2019,4.50756,3.53,1.7,3.95,373.81,13.116,V (Johnson),11.487,5769.5,,-0.17,0.93,0.82,
EPIC 206032309,EPIC 206032309 b,Transit,2019,2.87814,1.01,1.01,5.39,162.09,16.069,G (Gaia),12.538,3550.11,,,0.22,,
EPIC 206042996,EPIC 206042996 b,Transit,2019,5.29711,3.26,1.62,4.21,457.27,16.743,V (Johnson),13.071,4018.74,,-0.98,0.56,0.67,
EPIC 206215704,EPIC 206215704 b,Transit,2019,2.25372,0.666,0.9,5.02,110.22,16.172,G (Gaia),12.767,3637.57,,,0.41,,
EPIC 206317286,EPIC 206317286 b,Transit,2019,1.58252,0.84,0.96,5.22,317.2,14.051,V (Johnson),11.635,5014.67,,-0.593,0.71,0.67,
EPIC 211822797,EPIC 211822797 b,Transit,2016,21.169861,4.58,1.98,3.24,187.19,15.256,V (Johnson),11.429,4148.21,,-1.113,0.66,0.57,0.79
EPIC 211945201,EPIC 211945201 b,Transit,2018,19.49221,27,5.76,0.65,182.69,10.154,V (Johnson),8.837,6069,4.22,0.369,1.17,1.39,3.99
EPIC 212297394,EPIC 212297394 b,Transit,2019,2.28943,2.31,1.323,5.48,423.35,14.423,V (Johnson),12.186,4987.49,,-0.505,0.83,0.75,
EPIC 212424622,EPIC 212424622 b,Transit,2019,18.0983,5.35,2.17,2.88,622.67,13.354,V (Johnson),11.775,5782.33,,0.179,1.11,1.22,
EPIC 212499991,EPIC 212499991 b,Transit,2019,34.885,3.19,1.6,4.28,285.61,13.552,V (Johnson),11.366,4982.79,,-0.497,0.91,0.76,
EPIC 212587672,EPIC 212587672 b,Transit,2019,15.2841,1.46,1.12,5.71,322.88,12.487,V (Johnson),10.857,5864.75,,0.006,0.95,0.98,
EPIC 212737443,EPIC 212737443 b,Transit,2019,13.603,7.2,2.586,2.29,347.45,14.836,V (Johnson),12.16,4684,4.62,-0.804,0.69,0.67,
EPIC 212737443,EPIC 212737443 c,Transit,2019,65.55,7.7,2.69,2.17,347.45,14.836,V (Johnson),12.16,4684,4.62,-0.804,0.69,0.67,
K2-282,EPIC 220554210 c,Transit,2019,0.70531,2.79,1.48,4.73,502.28,14.042,V (Johnson),12.002,5523,4.47,-0.215,0.94,0.94,
EPIC 220674823,EPIC 220674823 b,Transit,2016,0.571331,7.72,1.82,8.5,246.1,12.102,V (Johnson),10.344,5617,4.45,-0.11,0.97,0.98,5
EPIC 220674823,EPIC 220674823 c,Transit,2016,13.339079,5.8,2.73,2,246.1,12.102,V (Johnson),10.344,5617,4.45,-0.11,0.97,0.98,5
EPIC 246851721,EPIC 246851721 b,Transit,2018,6.180235,953.49,11.781,3.1,336.7,11.439,V (Johnson),9.893,6202,4.16,0.526,1.32,1.59,3.02
EPIC 248847494,EPIC 248847494 b,Transit,2018,3650,4131.79,12.442,,560,12.416,V (Johnson),10.148,4898,3.52,0.548,0.9,2.7,
FU Tau,FU Tau b,Imaging,2008,,5085.28,12.2,15.4,140,20.48,G (Gaia),13.329,2838,,-0.699,0.05,,0.001
Fomalhaut,Fomalhaut b,Imaging,2008,555530,826.3,13.5,1.85,7.7,1.16,V (Johnson),0.945,8399,4.14,1.217,1.92,1.92,0.2
GJ 1132,GJ 1132 b,Transit,2015,1.628931,1.66,1.16,6.3,12.62,13.49,V (Johnson),8.322,3270,4.88,-2.359,0.18,0.21,5
GJ 1132,GJ 1132 c,Transit,2018,8.929,2.64,1.43,4.96,12.62,13.49,V (Johnson),8.322,3270,4.88,-2.359,0.18,0.21,5
GJ 1148,GJ 1148 b,Radial Velocity,2010,41.38,96.7,11.9,0.315,11.02,11.92,V (Johnson),6.822,3264,,-1.699,0.35,0.4,
GJ 1148,GJ 1148 c,Radial Velocity,2017,532.58,68.06,9.71,0.409,11.02,11.92,V (Johnson),6.822,3264,,-1.699,0.35,0.4,
GJ 1214,GJ 1214 b,Transit,2009,1.58040456,6.26125,2.847,1.49,14.65,15.1,V (Johnson),8.782,3026,4.94,-2.312,0.15,0.22,3
GJ 1265,GJ 1265 b,Radial Velocity,2018,3.6511,7.4,2.63,2.24,10.26,13.57,V (Johnson),8.115,3236,5.09,-2.439,0.18,0.19,
GJ 143,GJ 143 b,Transit,2019,35.61253,22.7,2.61,7,16.33,7.87,V (Johnson),5.375,4640,4.61,-0.686,0.73,0.69,3.8
GJ 15 A,GJ 15 A b,Radial Velocity,2014,11.4407,3.03,1.55,4.47,3.56,8.08,V (Johnson),4.018,3607,4.87,-1.655,0.38,0.38,
GJ 15 A,GJ 15 A c,Radial Velocity,2018,7600,36,6.67,0.667,3.56,8.08,V (Johnson),4.018,3607,4.87,-1.655,0.38,0.38,
GJ 160.2,GJ 160.2 b,Radial Velocity,2014,5.2354,10.2,3.17,1.76,25.88,9.68,V (Johnson),6.702,4347,,-0.796,0.69,0.66,
GJ 163,GJ 163 b,Radial Velocity,2013,8.63182,10.6,3.25,1.7,15.14,11.81,V (Johnson),7.135,3500,,-1.708,0.4,0.43,6
GJ 163,GJ 163 c,Radial Velocity,2013,25.63058,6.8,2.5,2.39,15.14,11.81,V (Johnson),7.135,3500,,-1.708,0.4,0.43,6
GJ 163,GJ 163 d,Radial Velocity,2013,603.95116,29.4,5.92,0.779,15.14,11.81,V (Johnson),7.135,3500,,-1.708,0.4,0.43,6
GJ 179,GJ 179 b,Radial Velocity,2009,2288,260.61,13.9,0.533,12.36,12,V (Johnson),6.942,3370,4.83,-1.796,0.36,0.38,
GJ 180,GJ 180 b,Radial Velocity,2014,17.38,8.3,2.81,2.06,11.94,10.91,V (Johnson),6.598,3371,,-1.886,0.43,0.42,
GJ 180,GJ 180 c,Radial Velocity,2014,24.329,6.4,2.41,2.51,11.94,10.91,V (Johnson),6.598,3371,,-1.886,0.43,0.42,
GJ 229,GJ 229 b,Radial Velocity,2014,471,32,6.22,0.731,5.76,8.14,V (Johnson),4.166,3564,4.81,-1.553,0.58,0.46,0.4
GJ 27.1,GJ 27.1 b,Radial Velocity,2014,15.819,13,3.66,1.46,23.62,11.42,V (Johnson),7.394,3542,,-1.585,0.53,0.54,
GJ 273,GJ 273 b,Radial Velocity,2017,18.6498,2.89,1.51,4.61,3.8,9.872,V (Johnson),4.857,3382,,-2.056,0.29,0.29,
GJ 273,GJ 273 c,Radial Velocity,2017,4.7234,1.18,1.06,5.44,3.8,9.872,V (Johnson),4.857,3382,,-2.056,0.29,0.29,
GJ 3021,GJ 3021 b,Radial Velocity,2000,133.71,1071.04,13.1,2.62,17.56,6.59,V (Johnson),4.859,5540,4.7,-0.18,0.9,0.9,0.37
GJ 3138,GJ 3138 b,Radial Velocity,2017,1.22003,1.78,1.18,5.95,28.49,10.98,V (Johnson),7.246,3717,,-1.347,0.68,0.5,
GJ 3138,GJ 3138 c,Radial Velocity,2017,5.974,4.18,1.88,3.46,28.49,10.98,V (Johnson),7.246,3717,,-1.347,0.68,0.5,
GJ 3138,GJ 3138 d,Radial Velocity,2017,257.8,10.5,3.23,1.71,28.49,10.98,V (Johnson),7.246,3717,,-1.347,0.68,0.5,
GJ 317,GJ 317 b,Radial Velocity,2007,692,794.5,13.3,1.86,15.1,11.97,V (Johnson),7.028,3510,,,0.42,,5
GJ 317,GJ 317 c,Radial Velocity,2018,5312,489.4582,13.5,1.09,15.1,11.97,V (Johnson),7.028,3510,,,0.42,,5
GJ 328,GJ 328 b,Radial Velocity,2013,4100,731,13.3,1.71,20.54,9.97,V (Johnson),6.352,3900,,-0.993,0.69,0.67,
GJ 3293,GJ 3293 b,Radial Velocity,2015,30.5987,23.54,5.19,0.925,20.2,11.962,V (Johnson),7.486,3466,,-1.658,0.42,0.4,
GJ 3293,GJ 3293 c,Radial Velocity,2015,122.6196,21.09,4.87,1,20.2,11.962,V (Johnson),7.486,3466,,-1.658,0.42,0.4,
GJ 3293,GJ 3293 d,Radial Velocity,2017,48.1345,7.6,2.67,2.19,20.2,11.962,V (Johnson),7.486,3466,,-1.658,0.42,0.4,
GJ 3293,GJ 3293 e,Radial Velocity,2017,13.2543,3.28,1.63,4.16,20.2,11.962,V (Johnson),7.486,3466,,-1.658,0.42,0.4,
GJ 3323,GJ 3323 b,Radial Velocity,2017,5.3636,2.02,1.23,5.96,5.32,12.22,V (Johnson),6.736,3159,,-2.569,0.16,0.12,
GJ 3323,GJ 3323 c,Radial Velocity,2017,40.54,2.31,1.32,5.52,5.32,12.22,V (Johnson),6.736,3159,,-2.569,0.16,0.12,
GJ 3341,GJ 3341 b,Radial Velocity,2015,14.207,6.6,2.46,2.44,23.16,12.08,V (Johnson),7.733,3526,,-1.538,0.47,0.44,
GJ 3470,GJ 3470 b,Radial Velocity,2012,3.3366496,13.9,4.57,0.8,29.45,12.33,V (Johnson),7.989,3600,4.7,-1.538,0.54,0.55,1.65
GJ 3512,GJ 3512 b,Radial Velocity,2019,203.59,147.15529,14.3,0.277,9.49,15.05,V (Johnson),8.668,3081,,-2.804,0.12,0.14,5.5
GJ 357,GJ 357 b,Transit,2019,3.93072,1.84,1.217,5.6,9.44,10.92,V (Johnson),6.475,3505,4.94,-1.798,0.34,0.34,
GJ 357,GJ 357 c,Radial Velocity,2019,9.1247,3.4,1.66,4.08,9.44,10.92,V (Johnson),6.475,3505,4.94,-1.798,0.34,0.34,
GJ 357,GJ 357 d,Radial Velocity,2019,55.661,6.1,2.34,2.62,9.44,10.92,V (Johnson),6.475,3505,4.94,-1.798,0.34,0.34,
GJ 3634,GJ 3634 b,Radial Velocity,2010,2.64561,8.4,2.83,2.04,19.8,11.93,V (Johnson),7.47,3685.02,,-1.699,0.45,0.43,5
