hostname,letter,name,discmethod,disc,orbper,bmasse,rade,dens,ra,dec,dist,optmag,optmagband,nirmag,nirmagerr,teff,logg,lum,mass,rad,age
AB Pic,b,AB Pic b,Imaging,2005,,4290.5,12.3,12.7,94.803802,-58.05431,50.12,9.128,V (Johnson),6.981,0.024,5378,4.44,-0.226,0.9,1,0.03
BD+03 2562,b,BD+03 2562 b,Radial Velocity,2017,481.9,2034.112,12.7,5.46,177.564804,2.760142,2618,9.58,V (Johnson),6.021,0.015,4095,1.89,2.7,1.14,32.35,5.2
BD+14 4559,b,BD+14 4559 b,Radial Velocity,2009,268.94,330.5432,13.8,0.691,318.399963,14.689387,49.42,9.63,V (Johnson),7.336,0.022,4864,4.26,-0.424,0.49,0.86,
BD+15 2375,b,BD+15 2375 b,Radial Velocity,2016,153.22,337.21763,13.8,0.705,176.482174,14.616381,774,10.31,V (Johnson),7.718,0.009,4649,2.61,1.57,1.08,8.95,7.41
BD+15 2940,b,BD+15 2940 b,Radial Velocity,2013,137.48,352.78,13.7,0.754,240.095566,15.54693,431.61,9.046,V (Johnson),6.525,0.016,4796,2.8,2.01,1.1,14.7,7.1
BD+20 2457,b,BD+20 2457 b,Radial Velocity,2009,379.63,17668.1697,11.6,62.2,154.18691,19.891409,1670.85,9.75,V (Johnson),6.42,0.021,4259,1.77,2.768,10.83,71.02,
BD+20 2457,c,BD+20 2457 c,Radial Velocity,2009,621.99,3963.17,12.4,11.4,154.18691,19.891409,1670.85,9.75,V (Johnson),6.42,0.021,4259,1.77,2.768,10.83,71.02,
BD+20 274,b,BD+20 274 b,Radial Velocity,2012,578.2,1334.886,13,3.34,25.920324,21.005314,1383.85,9.36,V (Johnson),6.169,0.027,4296,1.99,1.96,0.8,17.3,
BD+20 594,b,BD+20 594 b,Transit,2016,41.6855,22.2481,2.578,7.89,53.650967,20.599232,180.39,11.038,V (Johnson),9.368,0.018,5766,4.5,0.05,1.67,1.08,3.34
BD+48 738,b,BD+48 738 b,Radial Velocity,2011,392.6,289.2253,13.9,0.592,40.710224,49.58696,892.17,9.14,V (Johnson),5.904,0.018,4414,2.24,1.69,0.74,11,
BD+48 740,b,BD+48 740 b,Radial Velocity,2018,733,540.311,13.5,1.21,40.742569,48.930061,678.94,8.699,V (Johnson),5.645,0.017,4534,2.48,1.64,1.09,10.33,
BD+49 828,b,BD+49 828 b,Radial Velocity,2015,2590,508.5,13.5,1.14,45.640529,49.730011,447.59,9.38,V (Johnson),6.571,0.015,4943,2.85,1.47,1.52,7.6,2.34
BD-06 1339,b,BD-06 1339 b,Radial Velocity,2013,3.8728,8.5,2.85,2.02,88.251183,-5.994844,20.28,9.7,V (Johnson),6.305,0.018,4324,4.74,-1.022,0.7,0.67,4.4
BD-06 1339,c,BD-06 1339 c,Radial Velocity,2013,125.94,53,8.38,0.495,88.251183,-5.994844,20.28,9.7,V (Johnson),6.305,0.018,4324,4.74,-1.022,0.7,0.67,4.4
BD-08 2823,b,BD-08 2823 b,Radial Velocity,2009,5.6,12.7132,3.61,1.48,150.198837,-9.51668,41.38,9.88,V (Johnson),7.323,0.021,4816,4.43,-0.626,0.5,0.71,4.5
BD-08 2823,c,BD-08 2823 c,Radial Velocity,2009,237.6,104,12.5,0.293,150.198837,-9.51668,41.38,9.88,V (Johnson),7.323,0.021,4816,4.43,-0.626,0.5,0.71,4.5
BD-10 3166,b,BD-10 3166 b,Radial Velocity,2000,3.48777,187.5197,14.1,0.368,164.620003,-10.770376,84.61,10.08,V (Johnson),8.124,0.026,5393,4.69,-0.191,1.47,0.91,1
BD-11 4672,b,BD-11 4672 b,Radial Velocity,2014,1667,168.44,14.2,0.323,278.370148,-11.636039,27.3,9.99,V (Johnson),6.867,0.024,4475,4.1,-0.881,0.57,0.52,4.4
BD-13 2130,b,BD-13 2130 b,Radial Velocity,2007,714.29999,3108.3774,12.5,8.75,114.288458,-13.906639,948.75,9.45,V (Johnson),7.151,0.022,4545,2.2,2.043,2.12,19.17,0.74
BD-17 63,b,BD-17 63 b,Radial Velocity,2008,655.6,1620.9,12.8,4.25,7.142942,-16.226345,34.49,9.566,V (Johnson),6.914,0.024,4714,4.26,-0.678,0.74,0.69,4.3
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2011,10037.5,3337.1,12.4,9.62,224.620833,10.228611,23.1,,,,,580.5,4.72,,0.02,,
CHXR 73,b,CHXR 73 b,Imaging,2006,,3994.486,12.3,11.8,166.619893,-77.625877,191.05,17.293,G (Gaia),10.703,0.021,,,,0.35,,0.002
CI Tau,b,CI Tau b,Radial Velocity,2019,8.9891,3686.828,12.4,10.6,68.466728,22.841696,158,12.939,V (Johnson),7.793,0.02,3635,,-0.108,0.9,1.88,0.003
CT Cha,b,CT Cha b,Imaging,2007,,5403,24.66,1.98,166.037877,-76.455383,165,11.773,G (Gaia),8.661,0.021,4200.2,,-0.102,,1.68,0.002
CoRoT-1,b,CoRoT-1 b,Transit,2008,1.5089557,327.35,16.7,0.38,102.079885,-3.102147,805.31,13.6,V (Johnson),12.149,0.027,5950,4.25,0.298,0.95,1.11,1.6
CoRoT-10,b,CoRoT-10 b,Transit,2010,13.2406,874,10.87,3.7,291.063708,0.746143,345,15.22,V (Johnson),11.782,0.021,5075,4.65,-0.726,0.89,0.79,3
CoRoT-11,b,CoRoT-11 b,Transit,2010,2.99433,740.51,16.03,0.99,280.687263,5.937688,560,12.939,V (Johnson),11.248,0.022,6440,4.22,0.378,1.27,1.37,2
CoRoT-12,b,CoRoT-12 b,Transit,2010,2.828042,291.438,16.14,0.411,100.765677,-1.296439,1150,15.515,V (Johnson),13.557,0.042,5675,4.38,0.07,1.08,1.12,6.3
CoRoT-13,b,CoRoT-13 b,Transit,2010,4.03519,415.704,9.92,2.34,102.721137,-5.086445,1060,15.039,V (Johnson),13.376,0.039,5945,4.46,0.073,1.09,1.01,1.635
CoRoT-14,b,CoRoT-14 b,Transit,2010,1.51214,2415.4,12.22,7.3,103.424211,-5.536037,1340,16.033,V (Johnson),13.806,0.053,6035,4.35,0.119,1.13,1.21,4.2
CoRoT-16,b,CoRoT-16 b,Transit,2011,5.35227,170.032,13.11,0.44,278.524691,-6.002595,840,15.63,V (Johnson),12.847,0.037,5650,4.36,-0.435,1.1,1.19,6.73
CoRoT-17,b,CoRoT-17 b,Transit,2011,3.7681,772.29,11.43,2.82,278.699254,-6.612234,920,15.46,V (Johnson),12.472,0.054,5740,4.4,0.134,1.04,1.59,10.7
CoRoT-18,b,CoRoT-18 b,Transit,2011,1.9000693,1102.82,14.68,2.2,98.17241,-0.031586,870,15,V (Johnson),13.014,0.03,5440,4.4,-0.226,0.95,1,0.032
CoRoT-19,b,CoRoT-19 b,Transit,2011,3.89713,352.78,14.46,0.71,97.033582,-0.170681,770,14.007,V (Johnson),11.837,0.024,6090,4.07,0.544,1.21,1.65,5
CoRoT-2,b,CoRoT-2 b,Transit,2008,1.7429935,1102.82,16.432,1.47,291.777056,1.383714,200,12.57,V (Johnson),10.31,0.031,5625,4.53,-0.321,0.96,0.91,2.7
CoRoT-20,b,CoRoT-20 b,Transit,2011,9.24285,1366.669,9.416,8.87,97.720408,0.226919,864.31,14.66,V (Johnson),12.513,0.029,4947.5,4.35,0.006,1.14,1.37,0.1
CoRoT-20,c,CoRoT-20 c,Radial Velocity,2018,1675,5403.11,12.2,16.4,97.720408,0.226919,864.31,14.66,V (Johnson),12.513,0.029,4947.5,4.35,0.006,1.14,1.37,0.1
CoRoT-21,b,CoRoT-21 b,Transit,2012,2.72474,718.2958,14.572,1.36,101.05245,-0.29913,1398.83,16,V (Johnson),13.813,0.053,6200,3.7,0.705,1.29,1.95,4.1
CoRoT-22,b,CoRoT-22 b,Transit,2014,9.75598,12.2,4.88,0.249,280.667115,6.219136,592,13.944,V (Johnson),11.988,0.024,5939,4.36,0.014,1.1,1.14,3.3
CoRoT-23,b,CoRoT-23 b,Transit,2011,3.6313,889.9,11.77,3,279.782615,4.357806,600,15.63,V (Johnson),12.364,0.032,5900,4.3,0.087,1.14,1.61,7.2
CoRoT-24,b,CoRoT-24 b,Transit,2014,5.1134,5.7,3.7,0.9,101.922547,-3.719301,600,15.18,G (Gaia),12.924,0.023,4950,4.55,-0.601,0.91,0.86,11
CoRoT-24,c,CoRoT-24 c,Transit,2014,11.759,28,5,1.3,101.922547,-3.719301,600,15.18,G (Gaia),12.924,0.023,4950,4.55,-0.601,0.91,0.86,11
CoRoT-25,b,CoRoT-25 b,Transit,2013,4.86069,85.81,12.11,0.15,280.629662,6.513829,1000,14.711,G (Gaia),12.846,0.03,6040,4.31,0.141,1.09,1.19,4.5
CoRoT-26,b,CoRoT-26 b,Transit,2013,4.20474,165.26,14.12,0.28,279.750514,6.969787,1670,15.468,G (Gaia),13.261,0.033,5590,3.99,0.451,1.09,1.79,8.6
CoRoT-27,b,CoRoT-27 b,Transit,2014,3.57532,3302.11,11.287,12.6,278.495813,5.538462,1035.15,15.54,V (Johnson),12.985,0.032,5900,4.4,-0.166,1.05,1.08,4.21
CoRoT-28,b,CoRoT-28 b,Transit,2015,5.20851,153.82972,10.705,0.69,278.688338,5.57373,560,13.412,G (Gaia),11.032,0.023,5150,3.6,0.388,1.01,1.78,12
CoRoT-29,b,CoRoT-29 b,Transit,2015,2.85057,270.1555,10.088,1.45,278.902103,6.479651,765,15.239,G (Gaia),13.048,0.03,5260,4.3,-0.347,0.97,0.9,4.5
CoRoT-3,b,CoRoT-3 b,Transit,2008,4.2568,6883.91,11.32,26.4,292.055263,0.12182,680,13.292,V (Johnson),11.618,0.034,6740,4.22,0.391,1.37,1.56,2.2
CoRoT-4,b,CoRoT-4 b,Transit,2008,9.20205,228.83,13.34,0.525,102.194663,-0.672774,741.6,13.561,G (Gaia),12.288,0.03,6190,4.41,0.185,1.16,1.17,1
CoRoT-5,b,CoRoT-5 b,Transit,2009,4.0378962,148.42,15.558,0.217,101.277254,0.815239,904.65,13.902,G (Gaia),12.546,0.024,6100,4.19,0.223,1,1.19,6.9
CoRoT-6,b,CoRoT-6 b,Transit,2009,8.886593,940.74,13.068,2.32,281.072525,6.663194,657.24,13.912,V (Johnson),12.119,0.023,6090,4.43,0.026,1.05,1.02,2.5
CoRoT-7,b,CoRoT-7 b,Transit,2009,0.85359163,3.1783,1.681,6.61,100.956125,-1.063033,160.64,11.668,V (Johnson),9.806,0.019,5275,4.5,-0.292,0.82,0.83,1.75
CoRoT-7,c,CoRoT-7 c,Radial Velocity,2009,3.698,8.4,2.83,2.04,100.956125,-1.063033,160.64,11.668,V (Johnson),9.806,0.019,5275,4.5,-0.292,0.82,0.83,1.75
CoRoT-8,b,CoRoT-8 b,Transit,2010,6.21229,69.92,6.39,1.6,291.588518,1.426452,380,14.8,V (Johnson),11.463,0.021,5080,4.58,-0.665,0.88,0.77,3
CoRoT-9,b,CoRoT-9 b,Transit,2009,95.272656,266.9772,11.949,0.86,280.786712,6.204172,417.89,13.69,V (Johnson),11.688,0.023,5625,4.54,-0.254,0.96,0.96,6
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,2017,6.71837,47.6745,6.389,1.1,100.195183,9.257431,586.2,13.587,G (Gaia),12.193,0.027,5970,4.67,-0.155,1.08,0.79,
DE CVn,b,DE CVn b,Eclipse Timing Variations,2018,4098.1,3823.2733,12.4,11,201.721958,45.546303,30.55,11.975,G (Gaia),8.555,0.019,3585.67,,,0.51,,
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,9057.77,11.9,29.5,125.76305,-49.200359,20.77,18.558,G (Gaia),12.062,0.021,,,,0.07,,1
DH Tau,b,DH Tau b,Imaging,2004,,3496,30.264,0.693,67.423158,26.54952,140,12.496,G (Gaia),8.178,0.026,3751.5,,-0.569,0.33,0.27,0.001
DP Leo,b,DP Leo b,Eclipse Timing Variations,2009,10220,1995.88832,12.7,5.35,169.316667,17.961417,305.06,18.633,G (Gaia),,,13500,,-2.4,0.69,0.01,
DS Tuc A,b,DS Tuc A b,Transit,2019,8.138268,413.179,5.7,,354.91449,-69.195747,44.12,8.469,V (Johnson),6.676,0.034,5428,4.6,-0.14,1.01,0.96,0.045
EPIC 201238110,b,EPIC 201238110 b,Transit,2019,28.1656,4.16,1.87,3.5,179.705933,-3.389389,159.98,15.261,G (Gaia),11.933,0.024,3588,,,0.41,,
EPIC 201497682,b,EPIC 201497682 b,Transit,2019,2.13174,0.26,0.692,4.31,168.936646,0.488114,254.88,14.102,V (Johnson),11.438,0.026,4991,,-0.766,0.78,0.55,
K2-166,c,EPIC 201615463 c,Transit,2019,3.80464,1.98,1.22,5.99,185.188293,2.282436,481,12.074,V (Johnson),10.637,0.022,5942.5,4.09,0.458,1.07,1.6,
K2-16,d,EPIC 201754305 d,Transit,2019,2.71578,1.08,1.03,5.43,175.09726,4.55734,338.19,14.67,V (Johnson),12.087,0.023,4761,4.63,-0.761,0.67,0.54,
K2-50,c,EPIC 201833600 c,Transit,2019,3.96151,0.972,1,5.34,169.483627,5.988378,259.33,14.717,V (Johnson),11.664,0.023,4326,4.74,-0.874,0.61,0.63,
EPIC 201841433,b,EPIC 201841433 b,Transit,2019,4.16959,1.37,1.1,5.66,175.206772,6.134857,441.94,14.867,V (Johnson),12.454,0.03,5053,,-0.635,0.8,0.63,
K2-168,c,EPIC 205950854 c,Transit,2019,8.050722,2.27,1.31,5.55,333.109894,-16.341755,245.56,12.291,V (Johnson),10.549,0.024,5502.7,4.46,-0.176,0.88,0.83,
EPIC 206024342,b,EPIC 206024342 b,Transit,2019,4.50756,3.53,1.7,3.95,331.277222,-14.121665,373.81,13.116,V (Johnson),11.487,0.023,5769.5,,-0.17,0.93,0.82,
EPIC 206032309,b,EPIC 206032309 b,Transit,2019,2.87814,1.01,1.01,5.39,341.240692,-13.900921,162.09,16.069,G (Gaia),12.538,0.026,3550.11,,,0.22,,
EPIC 206042996,b,EPIC 206042996 b,Transit,2019,5.29711,3.26,1.62,4.21,337.51358,-13.610113,457.27,16.743,V (Johnson),13.071,0.033,4018.74,,-0.98,0.56,0.67,
EPIC 206215704,b,EPIC 206215704 b,Transit,2019,2.25372,0.666,0.9,5.02,335.094818,-9.509531,110.22,16.172,G (Gaia),12.767,0.029,3637.57,,,0.41,,
EPIC 206317286,b,EPIC 206317286 b,Transit,2019,1.58252,0.84,0.96,5.22,337.617584,-7.972406,317.2,14.051,V (Johnson),11.635,0.025,5014.67,,-0.593,0.71,0.67,
EPIC 211822797,b,EPIC 211822797 b,Transit,2016,21.169861,4.58,1.98,3.24,130.41037,17.640005,187.19,15.256,V (Johnson),11.429,0.018,4148.21,,-1.113,0.66,0.57,0.79
EPIC 211945201,b,EPIC 211945201 b,Transit,2018,19.49221,27,5.76,0.65,136.573975,19.402252,182.69,10.154,V (Johnson),8.837,0.02,6069,4.22,0.369,1.17,1.39,3.99
EPIC 212297394,b,EPIC 212297394 b,Transit,2019,2.28943,2.31,1.323,5.48,207.206223,-17.609905,423.35,14.423,V (Johnson),12.186,0.023,4987.49,,-0.505,0.83,0.75,
EPIC 212424622,b,EPIC 212424622 b,Transit,2019,18.0983,5.35,2.17,2.88,202.331421,-14.359463,622.67,13.354,V (Johnson),11.775,0.021,5782.33,,0.179,1.11,1.22,
EPIC 212499991,b,EPIC 212499991 b,Transit,2019,34.885,3.19,1.6,4.28,202.48877,-12.734723,285.61,13.552,V (Johnson),11.366,0.023,4982.79,,-0.497,0.91,0.76,
EPIC 212587672,b,EPIC 212587672 b,Transit,2019,15.2841,1.46,1.12,5.71,205.444702,-10.862432,322.88,12.487,V (Johnson),10.857,0.021,5864.75,,0.006,0.95,0.98,
EPIC 212737443,b,EPIC 212737443 b,Transit,2019,13.603,7.2,2.586,2.29,204.221695,-7.318144,347.45,14.836,V (Johnson),12.16,0.024,4684,4.62,-0.804,0.69,0.67,
EPIC 212737443,c,EPIC 212737443 c,Transit,2019,65.55,7.7,2.69,2.17,204.221695,-7.318144,347.45,14.836,V (Johnson),12.16,0.024,4684,4.62,-0.804,0.69,0.67,
K2-282,c,EPIC 220554210 c,Transit,2019,0.70531,2.79,1.48,4.73,13.432017,7.995316,502.28,14.042,V (Johnson),12.002,0.021,5523,4.47,-0.215,0.94,0.94,
EPIC 220674823,b,EPIC 220674823 b,Transit,2016,0.571331,7.72,1.82,8.5,13.07978,10.794699,246.1,12.102,V (Johnson),10.344,0.021,5617,4.45,-0.11,0.97,0.98,5
EPIC 220674823,c,EPIC 220674823 c,Transit,2016,13.339079,5.8,2.73,2,13.07978,10.794699,246.1,12.102,V (Johnson),10.344,0.021,5617,4.45,-0.11,0.97,0.98,5
EPIC 246851721,b,EPIC 246851721 b,Transit,2018,6.180235,953.49,11.781,3.1,78.919746,16.278742,336.7,11.439,V (Johnson),9.893,0.018,6202,4.16,0.526,1.32,1.59,3.02
EPIC 248847494,b,EPIC 248847494 b,Transit,2018,3650,4131.79,12.442,,159.389267,11.842731,560,12.416,V (Johnson),10.148,0.02,4898,3.52,0.548,0.9,2.7,
FU Tau,b,FU Tau b,Imaging,2008,,5085.28,12.2,15.4,65.898908,25.049898,140,20.48,G (Gaia),13.329,0.098,2838,,-0.699,0.05,,0.001
Fomalhaut,b,Fomalhaut b,Imaging,2008,555530,826.3,13.5,1.85,344.412689,-29.622236,7.7,1.16,V (Johnson),0.945,0.286,8399,4.14,1.217,1.92,1.92,0.2
GJ 1132,b,GJ 1132 b,Transit,2015,1.628931,1.66,1.16,6.3,153.715737,-47.156727,12.62,13.49,V (Johnson),8.322,0.027,3270,4.88,-2.359,0.18,0.21,5
GJ 1132,c,GJ 1132 c,Transit,2018,8.929,2.64,1.43,4.96,153.715737,-47.156727,12.62,13.49,V (Johnson),8.322,0.027,3270,4.88,-2.359,0.18,0.21,5
GJ 1148,b,GJ 1148 b,Radial Velocity,2010,41.38,96.7,11.9,0.315,175.435974,42.751972,11.02,11.92,V (Johnson),6.822,0.016,3264,,-1.699,0.35,0.4,
GJ 1148,c,GJ 1148 c,Radial Velocity,2017,532.58,68.06,9.71,0.409,175.435974,42.751972,11.02,11.92,V (Johnson),6.822,0.016,3264,,-1.699,0.35,0.4,
GJ 1214,b,GJ 1214 b,Transit,2009,1.58040456,6.26125,2.847,1.49,258.828837,4.96392,14.65,15.1,V (Johnson),8.782,0.02,3026,4.94,-2.312,0.15,0.22,3
GJ 1265,b,GJ 1265 b,Radial Velocity,2018,3.6511,7.4,2.63,2.24,333.428676,-17.685771,10.26,13.57,V (Johnson),8.115,0.018,3236,5.09,-2.439,0.18,0.19,
GJ 143,b,GJ 143 b,Transit,2019,35.61253,22.7,2.61,7,51.746769,-63.4991,16.33,7.87,V (Johnson),5.375,0.024,4640,4.61,-0.686,0.73,0.69,3.8
GJ 15 A,b,GJ 15 A b,Radial Velocity,2014,11.4407,3.03,1.55,4.47,4.595356,44.022953,3.56,8.08,V (Johnson),4.018,0.02,3607,4.87,-1.655,0.38,0.38,
GJ 15 A,c,GJ 15 A c,Radial Velocity,2018,7600,36,6.67,0.667,4.595356,44.022953,3.56,8.08,V (Johnson),4.018,0.02,3607,4.87,-1.655,0.38,0.38,
GJ 160.2,b,GJ 160.2 b,Radial Velocity,2014,5.2354,10.2,3.17,1.76,61.645172,-20.853121,25.88,9.68,V (Johnson),6.702,0.017,4347,,-0.796,0.69,0.66,
