host_star_name,exoplanet_name,disc_year,earth_mass,earth_radii,solar_mass,solar_rad,dist_parsec,orbital_period
HAT-P-15,HAT-P-15 b,2010,616.5902,11.882,1,1.07,193.56,10.8635
HAT-P-16,HAT-P-16 b,2010,1332.605,14.448,1.22,1.24,235,2.77596
HAT-P-17,HAT-P-17 b,2010,184.3414,11.769,0.99,0.87,92.63,10.33852
HAT-P-17,HAT-P-17 c,2010,1080.6,13.1,0.99,0.87,92.63,5584
HAT-P-18,HAT-P-18 b,2010,62.61,11.153,0.77,0.75,166,5.508023
HAT-P-19,HAT-P-19 b,2010,92.802,12.689,0.84,0.82,215,4.008778
HAT-P-2,HAT-P-2 b,2007,2765.121,10.66,1.33,1.39,128.25,5.6335158
HAT-P-20,HAT-P-20 b,2010,2302.899,9.718,0.76,0.69,70,2.875317
HAT-P-21,HAT-P-21 b,2010,1547.8321,12.442,1.24,1.21,279.48,4.12448
HAT-P-22,HAT-P-22 b,2010,785.0401,12.89,1.13,1.11,81.96,3.21222
HAT-P-23,HAT-P-23 b,2010,425.8922,12.218,0.58,0.96,368.61,1.21288
HAT-P-24,HAT-P-24 b,2010,238.3725,14.572,1.37,1.38,420.26,3.35524
HAT-P-25,HAT-P-25 b,2010,180.84527,12.722,1.01,0.92,302.95,3.65281514
HAT-P-26,HAT-P-26 b,2010,22.2481,7.062,1.12,0.87,142.41,4.23452
HAT-P-27,HAT-P-27 b,2011,197.05,11.43,0.94,0.9,204,3.039577
HAT-P-28,HAT-P-28 b,2011,198.953,13.585,1.02,1.1,395,3.257215
HAT-P-29,HAT-P-29 b,2011,279.6904,13.115,1.45,1.3,316.36,5.72319
HAT-P-3,HAT-P-3 b,2007,206.5895,10.536,1.06,0.87,135.08,2.8997
HAT-P-30,HAT-P-30 b,2011,263.7989,16.141,1.55,1.31,215.29,2.8106
HAT-P-31,HAT-P-31 b,2011,721.4741,12.218,1.31,1.39,347.48,5.00542
HAT-P-32,HAT-P-32 b,2011,216.1244,22.194,1.13,1.37,291.51,2.1500082
HAT-P-33,HAT-P-33 b,2011,292.4036,20.737,1.82,1.79,400.55,3.47447
HAT-P-34,HAT-P-34 b,2011,2227.9883,15.132,4.26,1.73,251.08,5.45265
HAT-P-35,HAT-P-35 b,2011,2390.0816,39.792,23.56,3.82,514.2,3.64671
HAT-P-36,HAT-P-36 b,2011,587.41341,14.314,1.03,1.04,296.93,1.32734683
HAT-P-37,HAT-P-37 b,2011,371.528,13.204,0.93,0.88,411,2.797436
HAT-P-38,HAT-P-38 b,2012,84.857,9.247,0.89,0.92,249,4.640382
HAT-P-39,HAT-P-39 b,2012,190.372,17.609,1.4,1.62,642,3.54387
HAT-P-4,HAT-P-4 b,2007,213.255,14.28,0.56,1.62,314,3.056536
HAT-P-40,HAT-P-40 b,2012,152.5584,17.038,1.03,1.94,470.68,4.45724
HAT-P-41,HAT-P-41 b,2012,378.2177,22.978,2.56,2.05,351.63,2.69405
HAT-P-42,HAT-P-42 b,2012,331.801,14.348,1.18,1.53,447,4.641878
HAT-P-43,HAT-P-43 b,2012,210.395,14.359,1.05,1.1,542,3.332687
HAT-P-44,HAT-P-44 b,2014,111.871,13.922,0.94,0.95,363,4.301219
HAT-P-44,HAT-P-44 c,2014,1271.3,13,0.94,0.95,363,872.2
HAT-P-45,HAT-P-45 b,2014,283.492,15.984,1.26,1.32,305,3.128992
HAT-P-46,HAT-P-46 b,2014,156.684,14.392,1.28,1.4,296,4.463129
HAT-P-49,HAT-P-49 b,2014,699.226,17.822,2.22,2.06,353.89,2.69155
HAT-P-5,HAT-P-5 b,2007,311.4734,13.563,1.04,1.12,306.01,2.78849
HAT-P-50,HAT-P-50 b,2015,429.0705,14.437,1.27,1.7,497,3.1220109
HAT-P-51,HAT-P-51 b,2015,98.20947,14.493,0.98,1.04,470,4.2180278
HAT-P-52,HAT-P-52 b,2015,259.98494,11.31,0.89,0.89,385,2.7535953
HAT-P-53,HAT-P-53 b,2015,471.65972,14.773,1.09,1.21,719,1.9616241
HAT-P-54,HAT-P-54 b,2015,241.5508,10.581,0.65,0.62,144.25,3.799847
HAT-P-55,HAT-P-55 b,2015,184.97706,13.249,1.01,1.01,480,3.5852467
HAT-P-56,HAT-P-56 b,2015,734.1873,16.926,1.42,1.47,323.5,2.79083
HAT-P-57,HAT-P-57 b,2015,448.1403,19.504,2.77,1.85,282.08,2.4653
HAT-P-6,HAT-P-6 b,2007,419.5356,16.589,1.79,1.62,277.5,3.85298
HAT-P-65,HAT-P-65 b,2016,167.49641,21.185,1.21,1.86,841,2.6054552
HAT-P-66,HAT-P-66 b,2016,248.86089,17.822,1.25,1.88,927,2.972086
HAT-P-67,HAT-P-67 b,2017,108.0622,23.371,1.64,2.55,320,4.8101025
HAT-P-69,HAT-P-69 b,2019,1137.8314,18.786,1.65,1.93,343.9,4.7869491
HAT-P-7,HAT-P-7 b,2008,584.8072,16.926,1.56,2,344.46,2.20474
HAT-P-70,HAT-P-70 b,2019,2154.8874,20.961,1.89,1.86,329,2.74432452
HAT-P-8,HAT-P-8 b,2008,406.8224,15.693,1.27,1.57,212.84,3.07634
HAT-P-9,HAT-P-9 b,2008,238.05467,15.614,1.28,1.34,480,3.92281072
HATS-1,HATS-1 b,2012,589.55,14.594,0.99,1.04,303,3.446459
HATS-10,HATS-10 b,2015,167.17858,10.862,1.1,1.1,496,3.312846
HATS-11,HATS-11 b,2016,263.7989,18.03,1.33,1.54,967.34,3.619188
HATS-12,HATS-12 b,2016,759.6137,7.76,1.16,1.17,512.41,3.142702
HATS-13,HATS-13 b,2015,172.58169,13.585,0.96,0.89,476,3.0440499
HATS-14,HATS-14 b,2015,340.39593,11.646,0.97,0.93,513,2.7667641
HATS-15,HATS-15 b,2016,689.6911,12.386,0.87,0.92,689,1.74748753
HATS-16,HATS-16 b,2016,1039.3041,14.572,0.97,1.24,774,2.686502
HATS-17,HATS-17 b,2016,425.25654,8.709,1.13,1.09,339,16.254611
HATS-18,HATS-18 b,2016,629.14449,14.897,1.04,1.02,645,0.83784
HATS-2,HATS-2 b,2013,427.463,13.092,0.88,0.9,360,1.354133
HATS-22,HATS-22 b,2017,870.8542,10.682,0.76,0.69,207.9,4.7228124
HATS-23,HATS-23 b,2017,467.2101,20.849,1.12,1.2,747,2.1605156
HATS-24,HATS-24 b,2017,718.2958,15.637,1.07,1.12,510,1.3484978
HATS-25,HATS-25 b,2016,194.82979,14.123,0.99,1.11,466,4.2986432
HATS-26,HATS-26 b,2016,206.5895,19.616,1.3,2.04,907,3.3023881
HATS-27,HATS-27 b,2016,168.4499,16.814,1.42,1.74,840,4.637038
HATS-28,HATS-28 b,2016,213.58176,13.384,0.93,0.92,521,3.1810781
HATS-29,HATS-29 b,2016,207.54299,14.022,1.03,1.07,351,4.6058749
HATS-3,HATS-3 b,2013,340.382,15.48,1.21,1.4,453,3.547851
HATS-30,HATS-30 b,2016,224.38798,13.171,1.09,1.06,339,3.1743516
HATS-31,HATS-31 b,2016,279.6904,18.383,1.27,1.87,872,3.37796
HATS-32,HATS-32 b,2016,292.4036,14,1.1,1.1,839,2.8126548
HATS-33,HATS-33 b,2016,378.85336,13.787,1.06,1.02,255,2.5495551
HATS-34,HATS-34 b,2016,299.07803,16.029,0.95,0.98,532,2.1061607
HATS-35,HATS-35 b,2016,388.38826,16.41,1.32,1.43,557,1.8209993
HATS-36,HATS-36 b,2018,1022.14128,12.92,1.1,1.1,878.65,4.175186
HATS-39,HATS-39 b,2018,200.2329,17.598,1.38,1.62,773,4.5776348
HATS-4,HATS-4 b,2014,420.471,11.433,1,0.93,420,2.516729
HATS-40,HATS-40 b,2018,505.3497,17.71,1.56,2.26,1431,3.2642736
HATS-41,HATS-41 b,2018,3082.951,14.908,1.5,1.71,800,4.193649
HATS-42,HATS-42 b,2018,597.5204,15.693,1.27,1.48,942,2.292102
HATS-43,HATS-43 b,2018,82.95363,13.227,0.84,0.81,341,4.3888497
HATS-44,HATS-44 b,2018,177.9848,11.96,0.86,0.85,463,2.7439004
HATS-45,HATS-45 b,2018,222.481,14.415,1.27,1.31,818,4.1876244
HATS-46,HATS-46 b,2018,54.98459,10.122,0.92,0.85,448,4.7423729
